,suburb,address name
0,Copperhannia,Arkell Ridge Trail
1,Copperhannia,Arkell Ridge Road
2,Copperhannia,Bell Road
3,Copperhannia,Black Bee Road
4,Copperhannia,Brittlejack Road
5,Copperhannia,Bushrangers Road
6,Copperhannia,Carrollina Road
7,Copperhannia,Chinamans Road
8,Copperhannia,Copperhannia Trig Trail
9,Copperhannia,Curragh Road
10,Copperhannia,Cut Roack Road
11,Copperhannia,Hart Road
12,Copperhannia,Hartley Road
13,Copperhannia,Hells Hole Trail
14,Copperhannia,Hobcroft Trail
15,Copperhannia,Honeymoon Road
16,Copperhannia,Little Hells Hole Trail
17,Copperhannia,Meadow Road
18,Copperhannia,Messmade Road
19,Copperhannia,Moss  Hook Road
20,Copperhannia,North Coast Road
21,Copperhannia,Pennsylvania Road
22,Copperhannia,Pennsylvania Trail
23,Copperhannia,Picket Road
24,Copperhannia,Quartz Road
25,Copperhannia,Ridge Road
26,Copperhannia,Rocky Bridge Creek Road
27,Copperhannia,Stolen Tree Road
28,Copperhannia,Sugarloaf Road
29,Cessnock,Aberdare Street
30,Cessnock,Aberdare Road
31,Cessnock,Albert Street
32,Cessnock,Alexander Street
33,Cessnock,Alfred Street
34,Cessnock,Alkira Avenue
35,Cessnock,Allan Street
36,Cessnock,Allandale Road
37,Cessnock,Alpine Avenue
38,Cessnock,Alunga Avenue
39,Cessnock,Ann Street
40,Cessnock,Anstey Street
41,Cessnock,Anzac Avenue
42,Cessnock,Arcadia Avenue
43,Cessnock,Ash Street
44,Cessnock,Aston Avenue
45,Cessnock,Attwater Avenue
46,Cessnock,Balmoral Avenue
47,Cessnock,Barrett Avenue
48,Cessnock,Belmont Avenue
49,Cessnock,Bent Street
50,Cessnock,Bevan Street
51,Cessnock,Blackwood Avenue
52,Cessnock,Boomerang Street
53,Cessnock,Booth Street
54,Cessnock,Boundary Firetrail
55,Cessnock,Bowcocks Street
56,Cessnock,Bridge Street
57,Cessnock,Brown Street
58,Cessnock,Buckland Avenue
59,Cessnock,Buffier Close
60,Cessnock,Burnett Street
61,Cessnock,Buttaba Avenue
62,Cessnock,Cabernet Grove
63,Cessnock,Campbell Street
64,Cessnock,Carroll Avenue
65,Cessnock,Casson Avenue
66,Cessnock,Castlemaine Street
67,Cessnock,Catherine Street
68,Cessnock,Cessnock Road
69,Cessnock,Cessnock Street
70,Cessnock,Chablis Drive
71,Cessnock,Chapman Street
72,Cessnock,Charlton Street
73,Cessnock,Chidgey Street
