,suburb,address name
0,Elrington,Camellia Close
1,Elrington,Colemans Road
2,Elrington,Dam Road
3,Elrington,Elrington Drive
4,Elrington,Hebburn Road
5,Elrington,Jacaranda Grove
6,Elrington,Lake Road
7,Elrington,Missing Link Road
8,Elrington,North Basin Road
9,Elrington,Pinnacle Firetrail
10,Elrington,Pinnacle Link Road
11,Elrington,South Basin Road
12,Elrington,Tumblebee Trail
13,Erskineville,Ada Street
14,Erskineville,Ada Lane
15,Erskineville,Albert Street
16,Erskineville,Amy Street
17,Erskineville,Amy Lane
18,Erskineville,Angel Street
19,Erskineville,Ashmore Street
20,Erskineville,Baldwin Street
21,Erskineville,Binning Street
22,Erskineville,Binning Lane
23,Erskineville,Bray Street
24,Erskineville,Bray Lane
25,Erskineville,Bridge Street
26,Erskineville,Burren Street
27,Erskineville,Charles Street
28,Erskineville,Clara Street
29,Erskineville,Concord Street
30,Erskineville,Concord Lane
31,Erskineville,Copeland Street
32,Erskineville,Coulson Street
33,Erskineville,Devine Street
34,Erskineville,Elliott Avenue
35,Erskineville,Equity Lane
36,Erskineville,Erskineville Lane
37,Erskineville,Erskineville Road
38,Erskineville,Ethel Street
39,Erskineville,Eve Street
40,Erskineville,Flora Street
41,Erskineville,Fox Avenue
42,Erskineville,George Street
43,Erskineville,Goddard Street
44,Erskineville,Gowrie Street
45,Erskineville,Harley Street
46,Erskineville,Henderson Road
47,Erskineville,Iredale Street
48,Erskineville,John Street
49,Erskineville,King Street
50,Erskineville,Knight Street
51,Erskineville,Knight Lane
52,Erskineville,Lambert Street
53,Erskineville,Macdonald Street
54,Erskineville,Malcolm Lane
55,Erskineville,Malcolm Street
56,Erskineville,Mitchell Road
57,Erskineville,Morrissey Road
58,Erskineville,Munni Street
59,Erskineville,Nassau Lane
60,Erskineville,Newman Street
61,Erskineville,Newton Street
62,Erskineville,Park Lane
63,Erskineville,Park Street
64,Erskineville,Parkers Lane
65,Erskineville,Pleasant Avenue
66,Erskineville,Prospect Street
67,Erskineville,Railway Parade
68,Erskineville,Ray Lane
69,Erskineville,Rochford Street
70,Erskineville,Septimus Street
71,Erskineville,Smiths Lane
72,Erskineville,Swanson Lane
73,Erskineville,Swanson Street
74,Erskineville,Sydney Street
75,Erskineville,Sydney Lane
76,Erskineville,Sydney Park Road
77,Erskineville,Turtle Lane
78,Erskineville,Union Lane
79,Erskineville,Union Street
80,Erskineville,Victoria Street
81,Eungai Creek,Aldertons Road
82,Eungai Creek,Allens Road
83,Eungai Creek,Allgomera Road
84,Eungai Creek,Browns Crossing Road
85,Eungai Creek,Brushbox Road
86,Eungai Creek,Butchers Creek Road
87,Eungai Creek,Cpt 274/1 Road
88,Eungai Creek,Cpt 482/1 Road
89,Eungai Creek,Cpt 75/5 Trail
90,Eungai Creek,Cpt 76/1 Trail
91,Eungai Creek,Cpt 76/2 Trail
92,Eungai Creek,Cpt 76/3 Trail
93,Eungai Creek,Cpt 78/1 Trail
94,Eungai Creek,Cpt 78/2 Trail
95,Eungai Creek,Cpt 78/3 Trail
96,Eungai Creek,Eungai Creek Road
97,Eungai Creek,Hall Road
98,Eungai Creek,Kesbys Road
99,Eungai Creek,Little Tamban Road
100,Eungai Creek,Main Street
101,Eungai Creek,Moores Lane
102,Eungai Creek,Pacific Highway
103,Eungai Creek,Pirate Road
104,Eungai Creek,Tamban Road
105,Eungai Creek,Upper Warrell Creek Road
106,Eungai Creek,Wallbridge Road
107,East Maitland,Adams Street
108,East Maitland,Adelaide Street
109,East Maitland,Alfred Close
110,East Maitland,Alliance Street
111,East Maitland,Anne Street
112,East Maitland,Balderston Street
113,East Maitland,Banks Street
114,East Maitland,Barton Street
115,East Maitland,Beaufort Circuit
116,East Maitland,Bells Close
117,East Maitland,Blackett Close
118,East Maitland,Blaxland Street
119,East Maitland,Booth Street
120,East Maitland,Bray Street
121,East Maitland,Brickworks Road
122,East Maitland,Brisbane Street
123,East Maitland,Browns Lane
124,East Maitland,Bruce Street
125,East Maitland,Brunswick Street
126,East Maitland,Buchanan Road
127,East Maitland,Burg Street
128,East Maitland,Buttai Road
129,East Maitland,Cambrian Place
130,East Maitland,Campbell Close
131,East Maitland,Card Crescent
132,East Maitland,Carnarvon Circuit
133,East Maitland,Cecily Close
134,East Maitland,Chambers Street
135,East Maitland,Charles Street
136,East Maitland,Chelmsford Drive
137,East Maitland,Chifley Street
138,East Maitland,Chisholm Road
139,East Maitland,Christmas Lane
140,East Maitland,Clara Street
141,East Maitland,Collinson Street
142,East Maitland,Corner Close
143,East Maitland,Courtlands Street
144,East Maitland,Cumberland Street
145,East Maitland,Curtin Street
146,East Maitland,David Avenue
147,East Maitland,Davidson Street
148,East Maitland,Day Street
149,East Maitland,Dinter Close
150,East Maitland,Dixon Street
151,East Maitland,Durban Crescent
152,East Maitland,Edgeworth Street
153,East Maitland,Elizabeth Street
154,East Maitland,Emerald Street
155,East Maitland,Eyre Street
156,East Maitland,Fern Place
157,East Maitland,Ferry Place
158,East Maitland,Fieldsend Street
159,East Maitland,Fitzroy Street
160,East Maitland,Flinders Street
161,East Maitland,Flooks Lane
162,East Maitland,Furber Street
163,East Maitland,Garnett Road
164,East Maitland,George Street
165,East Maitland,Glebe Street
166,East Maitland,Glenayre Close
167,East Maitland,Gloaming Avenue
168,East Maitland,Glover Street
169,East Maitland,Golf Links Road
170,East Maitland,Goodhugh Street
171,East Maitland,Grant Street
172,East Maitland,Guide Lane
173,East Maitland,Hanson Close
174,East Maitland,Hectors Hill Close
175,East Maitland,High Street
176,East Maitland,Hiland Crescent
177,East Maitland,Hilary Street
178,East Maitland,Hinder Street
179,East Maitland,Hobart Street
180,East Maitland,Hodge Street
181,East Maitland,Holt Close
182,East Maitland,Hughes Street
183,East Maitland,Hunter Street
184,East Maitland,Jacana Close
185,East Maitland,John Street
186,East Maitland,Johnson Drive
187,East Maitland,Jubilee Street
188,East Maitland,Karleym Court
189,East Maitland,Kenneth Street
190,East Maitland,Kilshanny Avenue
191,East Maitland,Kimberly Close
192,East Maitland,King Street
193,East Maitland,Knoll Crescent
194,East Maitland,Kyabra Close
195,East Maitland,Lawes Street
196,East Maitland,Lawrence Lane
197,East Maitland,Lawson Street
198,East Maitland,Leonard Close
199,East Maitland,Lindesay Street
200,East Maitland,Little Street
201,East Maitland,Lochend Circuit
202,East Maitland,Louth Park Road
203,East Maitland,Maher Avenue
204,East Maitland,Maize Street
205,East Maitland,Margaret Street
206,East Maitland,Markey Lane
207,East Maitland,Martin Close
208,East Maitland,Mawson Avenue
209,East Maitland,Mccann Avenue
210,East Maitland,Mcginley Street
211,East Maitland,Melbourne Street
212,East Maitland,Metford Road
213,East Maitland,Middleton Drive
214,East Maitland,Mill Street
215,East Maitland,Mingay Avenue
216,East Maitland,Mitchell Drive
217,East Maitland,Molly Morgan Drive
218,East Maitland,Morpeth Road
219,East Maitland,Morton Street
220,East Maitland,Moss Place
221,East Maitland,Mount Vincent Road
222,East Maitland,Mudan Court
223,East Maitland,Murray Street
224,East Maitland,Myra Street
225,East Maitland,Narang Street
226,East Maitland,Newcastle Street
227,East Maitland,New England Highway
228,East Maitland,Norfolk Street
229,East Maitland,Northcott Avenue
230,East Maitland,O'connel Street
231,East Maitland,O'connell Street
232,East Maitland,Old Crossing Close
233,East Maitland,Osprey Crescent
234,East Maitland,Oxley Close
235,East Maitland,Page Street
236,East Maitland,Park Street
237,East Maitland,Parl Street
238,East Maitland,Paterson Street
239,East Maitland,Peacock Street
240,East Maitland,Perth Avenue
241,East Maitland,Phillip Street
242,East Maitland,Pierce Street
243,East Maitland,Pitnacree Road
244,East Maitland,Pomax Close
245,East Maitland,Porter Avenue
246,East Maitland,Price Street
247,East Maitland,Prieska Way
248,East Maitland,Quarry Street
249,East Maitland,Rathluba Crescent
250,East Maitland,Raymond Terrace Road
