,suburb,address name
0,Five Dock,Acton Street
1,Five Dock,Arlington Street
2,Five Dock,Augusta Street
3,Five Dock,Barnstaple Lane
4,Five Dock,Barnstaple Road
5,Five Dock,Bayview Road
6,Five Dock,Bennett Avenue
7,Five Dock,Betts Avenue
8,Five Dock,Bevin Avenue
9,Five Dock,Cashman Lane
10,Five Dock,Charles Street
11,Five Dock,Cheltenham Road
12,Five Dock,Connecticut Avenue
13,Five Dock,Corden Avenue
14,Five Dock,Coronation Avenue
15,Five Dock,Courland Street
16,Five Dock,Cross Street
17,Five Dock,East Street
18,Five Dock,Elizabeth Street
19,Five Dock,Erina Avenue
20,Five Dock,Fairlight Street
21,Five Dock,Ferns Lane
22,Five Dock,First Avenue
23,Five Dock,Friend Avenue
24,Five Dock,Garfield Street
25,Five Dock,Gartfern Avenue
26,Five Dock,Gildea Avenue
27,Five Dock,Gipps Street
28,Five Dock,Great North Road
29,Five Dock,Halley Street
30,Five Dock,Harrabrook Avenue
31,Five Dock,Harris Road
32,Five Dock,Heath Street
33,Five Dock,Henley Marine Drive
34,Five Dock,Henry Street
35,Five Dock,Hill Street
36,Five Dock,Howley Street
37,Five Dock,Illinois Road
38,Five Dock,Ingham Avenue
39,Five Dock,Innes Street
40,Five Dock,James Street
41,Five Dock,Jersey Lane
42,Five Dock,Kerin Avenue
43,Five Dock,King Edward Street
44,Five Dock,Kings Road
45,Five Dock,Kings Bay Avenue
46,Five Dock,Kingsford Avenue
47,Five Dock,Kings Park Circuit
48,Five Dock,Kings Park Road
49,Five Dock,Kirrang Street
50,Five Dock,Lancelot Street
51,Five Dock,Langsworth Avenue
52,Five Dock,Lavender Street
53,Five Dock,Longview Street
54,Five Dock,Lucas Road
55,Five Dock,Lyons Road
56,Five Dock,Mackaness Close
57,Five Dock,Maida Street
58,Five Dock,Mcgrath Avenue
59,Five Dock,Mckinnon Avenue
60,Five Dock,Minnesota Avenue
61,Five Dock,Mitchell Street
62,Five Dock,Murralong Avenue
63,Five Dock,Myler Street
64,Five Dock,Newcastle Street
65,Five Dock,New Jersey Road
66,Five Dock,Noble Street
67,Five Dock,Norman Street
68,Five Dock,Park Road
69,Five Dock,Parramatta Road
70,Five Dock,Pine Avenue
71,Five Dock,Preston Avenue
72,Five Dock,Queens Road
73,Five Dock,Ramsay Road
74,Five Dock,Regatta Road
75,Five Dock,Rickard Street
76,Five Dock,Rodd Road
77,Five Dock,Rodd Lane
78,Five Dock,Rowe Street
79,Five Dock,Royce Avenue
80,Five Dock,School Lane
81,Five Dock,Scott Street
82,Five Dock,Second Avenue
83,Five Dock,Service Lane
84,Five Dock,Smiths Lane
85,Five Dock,Spencer Street
86,Five Dock,Sutton Street
87,Five Dock,Taylor Street
88,Five Dock,Thompson Lane
89,Five Dock,Timbrell Drive
90,Five Dock,Trevanion Street
91,Five Dock,Udall Avenue
92,Five Dock,Walker Street
93,Five Dock,Wangal Place
94,Five Dock,Waterview Street
95,Five Dock,West Street
96,Five Dock,William Street
97,Five Dock,Wymston Lane
98,Five Dock,Wymston Parade
99,Five Dock,York Avenue
100,Fosterton,Fosterton Road
101,Fosterton,Monkerai Road
102,Fosterton,Moylans Road
103,Fosterton,Orange Grove Road
104,Fiddletown,Bloodwood Road
105,Fiddletown,Cobah Road
106,Fiddletown,Coba Ridge Firetrail
107,Fiddletown,Coba Ridge Walking Track
108,Fiddletown,Kulpas Track
109,Fiddletown,Marramarra Ridge Trail
110,Fiddletown,Marramarra Ridge Track
111,Fiddletown,Nollands Road
112,Fiddletown,Peebles Road
113,Fiddletown,Peebles Road Firetrail
114,Fiddletown,Smugglers Ridge Track
115,Fiddletown,Waddy Firetrail
116,Far Meadow,Agars Lane
117,Far Meadow,Back Forest Road
118,Far Meadow,Bryces Road
119,Far Meadow,Coolangatta Road
120,Far Meadow,Roxbrough Road
121,Far Meadow,Swamp Road
122,Fairy Hill,Baraimal Lane
123,Fairy Hill,Collins Road
124,Fairy Hill,Daisy Place
125,Fairy Hill,Douglas Crescent
126,Fairy Hill,Droneys Bridge Road
127,Fairy Hill,Fairy Hill School Road
