,suburb,address name
0,Hurstville,Albert Street
1,Hurstville,Alfred Street
2,Hurstville,Alma Street
3,Hurstville,Annie Street
4,Hurstville,Australia Street
5,Hurstville,Barnards Avenue
6,Hurstville,Barratt Street
7,Hurstville,Basil Road
8,Hurstville,Bassett Street
9,Hurstville,Beatrice Street
10,Hurstville,Bellevue Lane
11,Hurstville,Bellevue Parade
12,Hurstville,Beronga Avenue
13,Hurstville,Binder Street
14,Hurstville,Bond Street
15,Hurstville,Botany Street
16,Hurstville,Bridge Street
17,Hurstville,Bristol Road
18,Hurstville,Burraneer Close
19,Hurstville,Butler Road
20,Hurstville,Butler Lane
21,Hurstville,Carrington Avenue
22,Hurstville,Carysfort Street
23,Hurstville,Clevedon Road
24,Hurstville,Cole Lane
25,Hurstville,Cole Street
26,Hurstville,Cow Lane
27,Hurstville,Crofts Avenue
28,Hurstville,Cronin Avenue
29,Hurstville,Cronulla Street
30,Hurstville,Croot Street
31,Hurstville,Crosby Avenue
32,Hurstville,Cross Street
33,Hurstville,Croydon Road
34,Hurstville,Dalcassia Street
35,Hurstville,Days Avenue
36,Hurstville,Denman Street
37,Hurstville,Diment Way
38,Hurstville,Donald Street
39,Hurstville,Dora Street
40,Hurstville,Druery Lane
41,Hurstville,Dudley Street
42,Hurstville,Durham Street
43,Hurstville,Edith Street
44,Hurstville,Elizabeth Street
45,Hurstville,Emily Street
46,Hurstville,Empress Lane
47,Hurstville,Empress Street
48,Hurstville,Ethel Lane
49,Hurstville,Finney Lane
50,Hurstville,Finney Street
51,Hurstville,First Avenue
52,Hurstville,Forest Road
53,Hurstville,Gallipoli Street
54,Hurstville,Gannons Avenue
55,Hurstville,George Street
56,Hurstville,Gloucester Road
57,Hurstville,Gordon Street
58,Hurstville,Greenbank Street
59,Hurstville,Halstead Street
60,Hurstville,Heber Street
61,Hurstville,Hill Street
62,Hurstville,Hillcrest Avenue
63,Hurstville,Hodge Street
64,Hurstville,Hudson Street
65,Hurstville,Humphreys Lane
66,Hurstville,Hurstville Road
67,Hurstville,Jack Brabham Drive
68,Hurstville,Joan Street
69,Hurstville,John Street
70,Hurstville,Kenwyn Street
71,Hurstville,Kenyon Road
72,Hurstville,Kimberley Road
73,Hurstville,Kimberley Lane
74,Hurstville,King Georges Road
75,Hurstville,Lily Street
76,Hurstville,Lily Lane
77,Hurstville,Locksley Road
78,Hurstville,Lockundy Lane
79,Hurstville,Louis Lane
80,Hurstville,Louis Terrace
81,Hurstville,Low Street
82,Hurstville,Lyle Street
83,Hurstville,Lyle Avenue
84,Hurstville,Mabel Street
85,Hurstville,Macmahon Street
86,Hurstville,Macpherson Street
87,Hurstville,Maher Street
88,Hurstville,Mcleod Street
89,Hurstville,Meakem Street
90,Hurstville,Millett Street
91,Hurstville,Moore Street
92,Hurstville,Moyarta Street
93,Hurstville,Neirbo Avenue
94,Hurstville,Noeline Street
95,Hurstville,O'briens Road
96,Hurstville,Orange Street
97,Hurstville,Orange Lane
98,Hurstville,Ormonde Parade
99,Hurstville,Park Road
100,Hurstville,Patrick Street
101,Hurstville,Pearl Street
102,Hurstville,Penshurst Avenue
103,Hurstville,Queens Road
104,Hurstville,Railway Parade
105,Hurstville,Regan Street
106,Hurstville,Roberts Lane
107,Hurstville,Romani Avenue
108,Hurstville,Rose Street
109,Hurstville,Rosebank Crescent
110,Hurstville,Ruby Street
111,Hurstville,Sackville Street
112,Hurstville,Salisbury Street
113,Hurstville,Smiths Avenue
114,Hurstville,Somerset Street
115,Hurstville,Station Lane
116,Hurstville,St Georges Parade
117,Hurstville,Taronga Street
118,Hurstville,Taunton Road
119,Hurstville,The Avenue 
120,Hurstville,Thomas Street
121,Hurstville,Thomond Street
122,Hurstville,Timothy Street
123,Hurstville,Treacy Street
124,Hurstville,Truman Street
125,Hurstville,Vine Street
126,Hurstville,Warraba Street
127,Hurstville,Warwick Street
128,Hurstville,Wellington Road
129,Hurstville,West Street
130,Hurstville,Weston Road
131,Hurstville,Woids Avenue
132,Hurstville,Woniora Road
133,Hurstville,Woodville Lane
134,Hurstville,Woodville Street
135,Hurstville,Wright Street
136,Halton,Allyn River Road
137,Halton,Chads Creek Road
138,Halton,Whites Road
139,Haberfield,Allum Street
140,Haberfield,Alt Street
141,Haberfield,Ash Lane
142,Haberfield,Barton Avenue
143,Haberfield,Bland Street
144,Haberfield,Boomerang Street
145,Haberfield,Chandos Street
146,Haberfield,Chelmsford Avenue
147,Haberfield,City-west Link Road
148,Haberfield,Cove Street
149,Haberfield,Crane Avenue
150,Haberfield,Crescent Street
151,Haberfield,Dalhousie Street
152,Haberfield,Darragh Lane
153,Haberfield,Deakin Avenue
154,Haberfield,Denman Avenue
155,Haberfield,Dickson Street
156,Haberfield,Dobroyd Parade
157,Haberfield,Dobroyd Lane
158,Haberfield,Dudley Street
159,Haberfield,Empire Street
160,Haberfield,Forrest Street
161,Haberfield,Gillies Avenue
162,Haberfield,Haberfield Road
163,Haberfield,Hawthorne Parade
164,Haberfield,Kingston Street
165,Haberfield,Learmonth Street
166,Haberfield,Liverpool Road
167,Haberfield,Logan Avenue
168,Haberfield,Lord Street
169,Haberfield,Loudon Avenue
170,Haberfield,Marion Street
171,Haberfield,Martin Street
