,suburb,address name
0,Ilford,Bylong Valley Way
1,Ilford,Cafes Road
2,Ilford,Castlereagh Highway
3,Ilford,Crudine Road
4,Ilford,Evans Road
5,Ilford,Haans Road
6,Ilford,Ilford Hall Road
7,Ilford,Ilford Sofala Road
8,Ilford,Mount Vincent Road
9,Ilford,Old Ilford Road
10,Ilford,Razorback Road
11,Ilford,Tara Loop Road
12,Ilford,Warrangunia Road
13,Inverell,Addison Road
14,Inverell,Albert Street
15,Inverell,Allambie Crescent
16,Inverell,Alsace Road
17,Inverell,Anderson Street
18,Inverell,Andrew Street
19,Inverell,Andrew Lane
20,Inverell,Angel Avenue
21,Inverell,Angorra Close
22,Inverell,Arrawatta Road
23,Inverell,Arthur Street
24,Inverell,Ashford Road
25,Inverell,Atlantica Avenue
26,Inverell,Auburn Vale Road
27,Inverell,Avern Street
28,Inverell,Avern Lane
29,Inverell,Bannockburn Road
30,Inverell,Beaulieu Lane
31,Inverell,Belgravia Lane
32,Inverell,Bennett Street
33,Inverell,Bennett Lane
34,Inverell,Bertha Street
35,Inverell,Bimbadeen Drive
36,Inverell,Blair Athol Road
37,Inverell,Bolands Lane
38,Inverell,Borthwick Street
39,Inverell,Box Tree Place
40,Inverell,Brae Street
41,Inverell,Brae Lane
42,Inverell,Brewery Street
43,Inverell,Brissett Lane
44,Inverell,Brissett Street
45,Inverell,Brosnans Lane
46,Inverell,Brown Street
47,Inverell,Brownleigh Vale Drive
48,Inverell,Browns Lane
49,Inverell,Bundanoon Lane
50,Inverell,Bundarra Road
51,Inverell,Burgess Street
52,Inverell,Burtenshaw Road
53,Inverell,Butler Street
54,Inverell,Buxton Street
55,Inverell,Byron Lane
56,Inverell,Byron Street
57,Inverell,Byron Station Lane
58,Inverell,Caloola Drive
59,Inverell,Cameron Street
60,Inverell,Campbell Lane
61,Inverell,Campbell Street
62,Inverell,Captain Cook Drive
63,Inverell,Carlyle Street
64,Inverell,Chester Street
65,Inverell,Chester Lane
66,Inverell,Chisholm Street
67,Inverell,Chisholm Lane
68,Inverell,Cicada Lane
69,Inverell,Clancys Drive
70,Inverell,Clinton Lane
71,Inverell,Clive Street
72,Inverell,Clive Lane
73,Inverell,Cloonan Terrace
74,Inverell,Coggan Place
75,Inverell,Colin Street
76,Inverell,Colin Lane
77,Inverell,Coolibah Drive
78,Inverell,Coopers Road
79,Inverell,Copeton Dam Road
80,Inverell,Corella Court
81,Inverell,County Lane
82,Inverell,Crestview Place
83,Inverell,Cunningham Place
84,Inverell,Cunninghams Lane
85,Inverell,Currawong Place
86,Inverell,Davey Street
87,Inverell,Defraines Lane
88,Inverell,Delvin Drive
89,Inverell,Deodara Drive
90,Inverell,Ditzells Drive
91,Inverell,Dog Trap Lane
92,Inverell,Doncaster Drive
93,Inverell,Dunmallard Lane
94,Inverell,East Street
95,Inverell,East Lane
96,Inverell,Edward Street
97,Inverell,Elm Place
98,Inverell,Elsmore Road
99,Inverell,Eucalypt Drive
100,Inverell,Eugene Street
101,Inverell,Evans Street
102,Inverell,Fernhill Road
103,Inverell,Fisher Road
104,Inverell,Flinders Place
105,Inverell,Froude Street
106,Inverell,Fullers Lane
107,Inverell,George Street
108,Inverell,George Lane
109,Inverell,Gilchrist Street
110,Inverell,Gillespies Lane
111,Inverell,Girle Street
112,Inverell,Glen Innes Road
113,Inverell,Goonoowigall Road
114,Inverell,Gordon Street
115,Inverell,Granville Lane
116,Inverell,Granville Street
117,Inverell,Greaves Street
118,Inverell,Greaves Lane
119,Inverell,Gunson Way
120,Inverell,Gwydir Highway
121,Inverell,Hampton Court
122,Inverell,Harland Street
123,Inverell,Hatcher Street
124,Inverell,Henderson Lane
125,Inverell,Henderson Street
126,Inverell,Herbert Street
127,Inverell,Herbert Lane
128,Inverell,High Street
129,Inverell,High Lane
130,Inverell,Hindmarsh Street
131,Inverell,Hopper Street
132,Inverell,Howard Street
133,Inverell,Jacaranda Crescent
134,Inverell,Jack Lane
135,Inverell,Jack Street
136,Inverell,Jardine Road
137,Inverell,John Street
138,Inverell,Kerri Road
139,Inverell,Killean Street
140,Inverell,King Lane
141,Inverell,King Street
142,Inverell,Kingfisher Drive
143,Inverell,Kings Plains Road
144,Inverell,Kookaburra Lane
145,Inverell,Kuna Avenue
146,Inverell,Kurrajong Place
147,Inverell,Lake Inverell Drive
148,Inverell,Lang Street
149,Inverell,Lauder Street
150,Inverell,Lawrence Street
151,Inverell,Leonard Street
152,Inverell,Leviathan Road
153,Inverell,Lewin Street
154,Inverell,Libani Close
155,Inverell,Lindsay Avenue
156,Inverell,Lochinvar Lane
157,Inverell,Loxton Road
158,Inverell,Lutes Road
159,Inverell,Macintyre Lane
160,Inverell,Macintyre Street
161,Inverell,Mackie Lane
162,Inverell,Mansfield Street
163,Inverell,Masons Lane
164,Inverell,Mather Street
165,Inverell,Mawson Street
166,Inverell,May Street
167,Inverell,Mcbrides Lane
168,Inverell,Mcfertridge Lane
169,Inverell,Mcilveen Street
170,Inverell,Mcilveen Park Road
171,Inverell,Mcivor Street
172,Inverell,Mclean Road
173,Inverell,Mcneils Road
174,Inverell,Medhurst Road
175,Inverell,Medora Street
176,Inverell,Miles Street
177,Inverell,Mitchell Lane
178,Inverell,Mitchell Crescent
179,Inverell,Moore Street
180,Inverell,Moseley-dene Lane
181,Inverell,Mugga Place
182,Inverell,Mulligan Street
183,Inverell,Mulligan Lane
184,Inverell,Nullamanna Road
185,Inverell,Oak Place
186,Inverell,Oakland Place
187,Inverell,O'connor Street
188,Inverell,Old Armidale Road
189,Inverell,Old Bundarra Road
190,Inverell,Oliver Lane
191,Inverell,Oliver Street
192,Inverell,Onus Avenue
193,Inverell,Orchard Place
194,Inverell,Osterley Terrace
195,Inverell,Oswald Lane
196,Inverell,Oswald Street
197,Inverell,Oswald Terrace
198,Inverell,Otho Street
199,Inverell,Otho Lane
200,Inverell,Oxley Place
201,Inverell,Palaroo Lane
202,Inverell,Pearson Road
203,Inverell,Plieffer Place
