,suburb,address name
0,Kempsey,Austral Street
1,Kempsey,Belgrave Street
2,Kempsey,Clyde Street
3,Kempsey,Eden Street
4,Kempsey,Elringtons Lane
5,Kempsey,First Lane
6,Kempsey,Forth Street
7,Kempsey,Geoffrey Debenham Street
8,Kempsey,Gladstone Street
9,Kempsey,Holman Street
10,Kempsey,Hopetoun Street
11,Kempsey,John Street
12,Kempsey,Kemp Street
13,Kempsey,Lanes Lane
14,Kempsey,Lord Street
15,Kempsey,Memorial Avenue
16,Kempsey,Pacific Highway
17,Kempsey,Regent Street
18,Kempsey,Savages Lane
19,Kempsey,Second Lane
20,Kempsey,Smith Street
21,Kempsey,Stuart Street
22,Kempsey,Sydney Street
23,Kempsey,Third Lane
24,Kempsey,Verge Street
25,Kempsey,Verge Lane
26,Kempsey,Vincent Street
27,Kempsey,Yaelwood Street
28,Kempsey,York Lane
29,Kenthurst,Alicia Place
30,Kenthurst,Angus Road
31,Kenthurst,Annangrove Road
32,Kenthurst,Ascot Road
33,Kenthurst,Ashwood Road
34,Kenthurst,Aston Road
35,Kenthurst,Banksia Place
36,Kenthurst,Bannerman Road
37,Kenthurst,Binalong Road
38,Kenthurst,Blue Gum Road
39,Kenthurst,Bower Bird Court
40,Kenthurst,Budin Road
41,Kenthurst,Burrell Road
42,Kenthurst,Bush Road
43,Kenthurst,Bushland Place
44,Kenthurst,Cadwells Road
45,Kenthurst,Campbell Road
46,Kenthurst,Clarke Way
47,Kenthurst,Colbran Avenue
48,Kenthurst,Coolalie Place
49,Kenthurst,Denham Road
50,Kenthurst,Dobell Place
51,Kenthurst,Dole Place
52,Kenthurst,Dural Street
53,Kenthurst,Ellendale Road
54,Kenthurst,Ellerman Avenue
55,Kenthurst,Emperor Place
56,Kenthurst,Farm Road
57,Kenthurst,Fuggles Road
58,Kenthurst,Gibbs Road
59,Kenthurst,Goodier Place
60,Kenthurst,Grevillea Place
61,Kenthurst,Griffin Place
62,Kenthurst,Gundawarra Place
63,Kenthurst,Hafey Road
64,Kenthurst,Hazeldean Place
65,Kenthurst,Hidden Valley Lane
66,Kenthurst,Hilton Place
67,Kenthurst,Imhoff Place
68,Kenthurst,Ivy Place
69,Kenthurst,Jefferson Grove
70,Kenthurst,Johnson Avenue
71,Kenthurst,Jones Road
72,Kenthurst,Kalang Road
73,Kenthurst,Kenthurst Road
74,Kenthurst,Lang Road
75,Kenthurst,Lawrence Road
76,Kenthurst,Lisbon Road
77,Kenthurst,Logie Road
78,Kenthurst,Lukas Avenue
79,Kenthurst,Lyrebird Court
80,Kenthurst,Marieba Road
81,Kenthurst,Mcclymonts Road
82,Kenthurst,Mitchell Place
83,Kenthurst,Murray Park Road
84,Kenthurst,Nelson Street
85,Kenthurst,Nicholii Place
86,Kenthurst,Nolland Place
87,Kenthurst,Nyari Road
88,Kenthurst,Oakridge Place
89,Kenthurst,O'haras Creek Road
90,Kenthurst,Orana Road
91,Kenthurst,Pamela Place
92,Kenthurst,Park Road
93,Kenthurst,Parkcrest Place
94,Kenthurst,Pitt Town Road
95,Kenthurst,Porters Road
96,Kenthurst,Raym Road
97,Kenthurst,Robson Road
98,Kenthurst,Roughley Road
99,Kenthurst,Sagars Road
100,Kenthurst,Sandpiper Place
101,Kenthurst,Sedger Road
102,Kenthurst,Seville Place
103,Kenthurst,Sildor Court
104,Kenthurst,Smerdon Place
105,Kenthurst,Sorbello Place
106,Kenthurst,Spurwood Close
107,Kenthurst,Strath Place
108,Kenthurst,Tallawung Place
109,Kenthurst,Thiele Road
110,Kenthurst,Volunteer Road
111,Kenthurst,Wandarri Road
112,Kenthurst,Whitehall Road
113,Kenthurst,Wrench Place
114,Kenthurst,Yarrabin Road
115,Kenthurst,Yeranda Place
116,Kamarah,Allen Street
117,Kamarah,Bodens Road
118,Kamarah,Bolaro Street
119,Kamarah,Box Street
120,Kamarah,Burley Griffin Way
121,Kamarah,Bygoo Road
122,Kamarah,Colinroobie Willows Road
123,Kamarah,Dobells Road
124,Kamarah,Druces Road
125,Kamarah,Golden Gate Road
126,Kamarah,Gunters Lane
127,Kamarah,Humby Road
128,Kamarah,Humby Street
129,Kamarah,Kamarah Road
130,Kamarah,Kamarah Tank Road
131,Kamarah,Manglesdorfs Lane
132,Kamarah,Moombooldool-willows Road
133,Kamarah,Murphys Road
134,Kamarah,Ridout Street
135,Kamarah,Shannons Road
136,Kamarah,Spencers Lane
137,Kamarah,Stewarts Lane
138,Kamarah,St Hilliers Road
139,Kamarah,Tanswell Park Road
140,Kamarah,Train Street
141,Kamarah,Willows-ardlethan Road
142,Kamarah,Wyambee Road
143,Kellys Plains,Burns Road
144,Kellys Plains,Corey Road
145,Kellys Plains,Hariet Gully Road
146,Kellys Plains,Heathersleigh Road
147,Kellys Plains,Kellys Plains Road
148,Kellys Plains,Kellys Plains School Road
149,Kellys Plains,Knobs Road
150,Kellys Plains,Old Gostwyck Road
151,Kellys Plains,Platform Road
152,Kellys Plains,Stoneleigh Road
153,Kincumber,Abundance Street
154,Kincumber,Algona Avenue
155,Kincumber,Aquarius Close
156,Kincumber,Arakoon Street
157,Kincumber,Avoca Drive
158,Kincumber,Avoca Valley Way
159,Kincumber,Ballorok Road
160,Kincumber,Bardo Road
161,Kincumber,Benelong Place
162,Kincumber,Bermuda Place
163,Kincumber,Berong Road
164,Kincumber,Bilinga Road
165,Kincumber,Boora Boora Road
166,Kincumber,Booragal Close
167,Kincumber,Boundary Road
168,Kincumber,Bowcock Place
169,Kincumber,Branga Avenue
170,Kincumber,Brennan Avenue
171,Kincumber,Bridge Street
172,Kincumber,Broula Close
173,Kincumber,Brushwood Avenue
174,Kincumber,Bungoona Road
175,Kincumber,Camaroo Close
176,Kincumber,Cameo Place
177,Kincumber,Cameron Crescent
178,Kincumber,Cape Three Points Road
179,Kincumber,Carlo Close
180,Kincumber,Carrak Road
181,Kincumber,Castell Close
182,Kincumber,Charles Close
183,Kincumber,Cherry Street
184,Kincumber,Chico Street
185,Kincumber,Cochrone Street
186,Kincumber,Cockle Creek Court
187,Kincumber,Colleena Close
188,Kincumber,Copacabana Drive
189,Kincumber,Corunna Close
190,Kincumber,Courigal Avenue
191,Kincumber,Cowringan Court
192,Kincumber,Cullens Road
193,Kincumber,Davies Street
194,Kincumber,Doyle Street
195,Kincumber,Dundulla Road
196,Kincumber,Edmondson Crescent
197,Kincumber,Elimatta Road
198,Kincumber,Elvys Avenue
199,Kincumber,Empire Bay Drive
200,Kincumber,Erambie Road
201,Kincumber,Figtree Bay Drive
202,Kincumber,Gates Place
203,Kincumber,Gladys Manley Avenue
204,Kincumber,Glassons Trail
205,Kincumber,Gunya Road
206,Kincumber,Guringai Court
207,Kincumber,Gurrigal Street
208,Kincumber,Hammond Close
209,Kincumber,Hawke Street
210,Kincumber,Hillcrest Drive
211,Kincumber,Island View Drive
212,Kincumber,James Dunlop Close
213,Kincumber,Joalah Road
214,Kincumber,Joseph Place
215,Kincumber,Julian Road
216,Kincumber,Kanimbla Close
217,Kincumber,Karuah Avenue
218,Kincumber,Kerns Road
219,Kincumber,Kerta Road
220,Kincumber,Killara Street
221,Kincumber,Killuna Road
222,Kincumber,Kim Close
223,Kincumber,Kimbarra Close
224,Kincumber,Kincumber Street
225,Kincumber,Kingfisher Close
226,Kincumber,Klara Close
227,Kincumber,Kookaburra Place
228,Kincumber,Kookaburra Street
229,Kincumber,Koolkuna Close
230,Kincumber,Kooreal Road
231,Kincumber,Kooronya Road
232,Kincumber,Laurel Lane
233,Kincumber,Leeson Place
234,Kincumber,Linell Close
235,Kincumber,Little Close
236,Kincumber,Lorikeet Lane
237,Kincumber,Lyndall Close
238,Kincumber,Main Drive
239,Kincumber,Mathew Street
240,Kincumber,Melville Street
241,Kincumber,Merrivale Close
242,Kincumber,Monica Street
243,Kincumber,Moro Close
244,Kincumber,Mortons Close
245,Kincumber,Murrabin Close
246,Kincumber,Mynah Close
247,Kincumber,Nijorie Close
248,Kincumber,Norman Hunter Close
249,Kincumber,Oberton Street
250,Kincumber,Panorama Parade
251,Kincumber,Park Lane
252,Kincumber,Parkers Road
253,Kincumber,Parkwood Close
254,Kincumber,Patanga Street
255,Kincumber,Paul Alexander Drive
256,Kincumber,Peterson Close
257,Kincumber,Pickering Place
258,Kincumber,Picketts Valley Road
259,Kincumber,Pickham Close
260,Kincumber,Pillaga Close
261,Kincumber,Pinyary Close
262,Kincumber,Ridgway Road
263,Kincumber,Robyn Avenue
264,Kincumber,Samantha Crescent
265,Kincumber,Scaysbrook Drive
266,Kincumber,Scenic Highway
267,Kincumber,School Street
268,Kincumber,Seabreeze Avenue
269,Kincumber,Serengeti Close
270,Kincumber,Shannon Close
271,Kincumber,Shipwrights Lane
272,Kincumber,Shirley Close
273,Kincumber,Sid Pulsford Trail
274,Kincumber,Sundowner Avenue
275,Kincumber,Sunny Waters Road
276,Kincumber,Taurus Close
277,Kincumber,The Scenic Road 
278,Kincumber,Tilba Street
279,Kincumber,Tingerta Street
280,Kincumber,Tooragil Court
281,Kincumber,Tora Avenue
