,suburb,address name
0,Legume,Acacia Track
1,Legume,Acacia Avenue
2,Legume,Acacia Plateau Road
3,Legume,Acacia Scrub Road
4,Legume,Barlows Gate Road
5,Legume,Beaury Street
6,Legume,Big Swamp Trail
7,Legume,Carters Road
8,Legume,Cullendore Street
9,Legume,Flagstone Road
10,Legume,Flagstone Street
11,Legume,Killarney Road
12,Legume,Killarney Barlows Road
13,Legume,Link Track
14,Legume,Middle Road
15,Legume,Mills Boundary Track
16,Legume,Mount Lindesay Road
17,Legume,New Koreelah Road
18,Legume,Patersons Trail
19,Legume,Short Street
20,Legume,South Boundary Track
21,Legume,Tooloom Street
22,Legume,Vinegar Hill Road
23,Legume,Wattle Track
24,Legume,West Track
25,Lochinvar,Briggs Close
26,Lochinvar,Cantwell Road
27,Lochinvar,Capp Street
28,Lochinvar,Christopher Road
29,Lochinvar,Cowhill Road
30,Lochinvar,Dunnering Close
31,Lochinvar,Freeman Drive
32,Lochinvar,Gregory Road
33,Lochinvar,Harper Close
34,Lochinvar,Hunter Close
35,Lochinvar,Lochill Close
36,Lochinvar,Loch Katrine Drive
37,Lochinvar,Luskintyre Road
38,Lochinvar,New England Highway
39,Lochinvar,Occupation Lane
40,Lochinvar,Old North Road
41,Lochinvar,Robert Road
42,Lochinvar,Station Lane
43,Lochinvar,St Helena Close
44,Lochinvar,Stockyard Close
45,Lochinvar,Windermere Road
46,Lochinvar,Winders Lane
47,Lochinvar,Wyndella Road
48,Lovedale,Brickmans Lane
49,Lovedale,Creek Road
50,Lovedale,Deadmans Road
51,Lovedale,Deadmans Trail
52,Lovedale,First Street
53,Lovedale,Gibsons Road
54,Lovedale,Gibsons Loop
55,Lovedale,Green Lane
56,Lovedale,Ironbark Lane
57,Lovedale,Kings Road
58,Lovedale,Lodge Road
59,Lovedale,Lomas Lane
60,Lovedale,Londons Road
61,Lovedale,Lovedale Road
62,Lovedale,Majors Lane
63,Lovedale,Native Dog Hill Road
64,Lovedale,Old Maitland Road
65,Lovedale,Olsen Road
66,Lovedale,Richardson Road
67,Lovedale,Wills Hill Road
68,Lovedale,Wine Country Drive
69,Limeburners Creek,Back Beach Road
70,Limeburners Creek,Baldy Knob Road
71,Limeburners Creek,Big Hill Trail
72,Limeburners Creek,Billy Button Fire Road
73,Limeburners Creek,Broadwater Trail
74,Limeburners Creek,Broken Bridge Trail
75,Limeburners Creek,Captain Hills Creek Road
76,Limeburners Creek,Claybank Road
77,Limeburners Creek,Clay Bank Road
78,Limeburners Creek,Deep Creek Road
79,Limeburners Creek,Denko Boundary Trail
80,Limeburners Creek,Ebsworth Road
81,Limeburners Creek,Fence Trail
82,Limeburners Creek,Foleys Road
83,Limeburners Creek,Fords Road
84,Limeburners Creek,Forest Glen Road
85,Limeburners Creek,Googes Road
86,Limeburners Creek,Hacks-o'donnells Road
87,Limeburners Creek,Harrys Trail
88,Limeburners Creek,Hobart Road
89,Limeburners Creek,Hobarts Forest Road
90,Limeburners Creek,Hut Fire Road
91,Limeburners Creek,Jayes Road
92,Limeburners Creek,Johnsons Road
93,Limeburners Creek,Lake Trail
94,Limeburners Creek,Limeburners Creek Road
95,Limeburners Creek,Limeburners Creek Trail
96,Limeburners Creek,Little Mountain Road
97,Limeburners Creek,Little Mountain Forest Road
98,Limeburners Creek,Log Wharf Fire Road
99,Limeburners Creek,Maria River Road
100,Limeburners Creek,Middle Fire Road
101,Limeburners Creek,Mundays Lane
102,Limeburners Creek,North Plomer Trail
103,Limeburners Creek,Old Coach Road
104,Limeburners Creek,Parish Fire Road
105,Limeburners Creek,Pine Fire Road
106,Limeburners Creek,Plomer Road
107,Limeburners Creek,Point Plomer Road
108,Limeburners Creek,Rileys Road
109,Limeburners Creek,River Fire Road
110,Limeburners Creek,Saltwater Trail
111,Limeburners Creek,Shetland Drive
112,Limeburners Creek,Tarcoola Road
113,Limeburners Creek,Tattersals Road
114,Limeburners Creek,The Bucketts Way 
115,Limeburners Creek,Wharf Fire Road
116,Limeburners Creek,Winters Trail
117,Limeburners Creek,Winters Firetrail
118,Limeburners Creek,Witt Road
119,Limeburners Creek,Woodland Quarry Trail
120,Limeburners Creek,Woodlands Road
121,Liston,Acacia Street
122,Liston,Bondi Road
123,Liston,Clarence Street
124,Liston,Kia Ora Road
125,Liston,Maryland Street
126,Liston,Mount Lindesay Road
127,Liston,Old Maryland Lane
128,Liston,Red Ridge Lane
129,Liston,Rivertree Road
130,Liston,Seven Mile Lane
131,Liston,Stanthorpe Street
132,Liston,Stony Ridge Road
133,Liston,Tenterfield Street
134,Liston,The Bicentennial National Trail 
135,Liston,Undercliffe Road
136,Limestone,Coalmine Road
137,Limestone,Cypress Management Trail
138,Limestone,Goberts Road
139,Limestone,Lemon Tree Flat Road
140,Limestone,Limestone Road
141,Limestone,Limestone Cave Road
142,Limestone,Sandy Creek Road
143,Lidcombe,Adderley Street
144,Lidcombe,Alban Street
145,Lidcombe,Allan Street
146,Lidcombe,Alphin Street
147,Lidcombe,Amy Street
148,Lidcombe,Ann Street
149,Lidcombe,Armstrongs Lane
150,Lidcombe,Arthur Street
151,Lidcombe,Bachell Avenue
152,Lidcombe,Bank Street
153,Lidcombe,Baret Street
154,Lidcombe,Beatrice Street
155,Lidcombe,Belgium Street
156,Lidcombe,Bernard Street
157,Lidcombe,Betty Cuthbert Drive
158,Lidcombe,Birnie Avenue
159,Lidcombe,Board Street
160,Lidcombe,Bombay Street
161,Lidcombe,Boorea Street
162,Lidcombe,Botanica Drive
163,Lidcombe,Brenda Avenue
164,Lidcombe,Bridge Street
165,Lidcombe,Brixton Road
166,Lidcombe,Brooks Circuit
167,Lidcombe,Brush Box Avenue
168,Lidcombe,Bud Greenspan Circuit
169,Lidcombe,Calool Street
170,Lidcombe,Cambridge Street
171,Lidcombe,Cameron Street
172,Lidcombe,Carroll Street
173,Lidcombe,Carter Street
174,Lidcombe,Centenary Drive
175,Lidcombe,Chapel Road
176,Lidcombe,Childs Street
177,Lidcombe,Church Street
178,Lidcombe,Clarence Street
179,Lidcombe,Cobden Parkes Crescent
180,Lidcombe,Cohen Avenue
181,Lidcombe,College Street
182,Lidcombe,Cooba Street
183,Lidcombe,Cook Street
184,Lidcombe,Cross Street
185,Lidcombe,Dalley Street
186,Lidcombe,Darcy Avenue
187,Lidcombe,Davey Street
188,Lidcombe,Day Street
189,Lidcombe,Deborah Avenue
190,Lidcombe,Delhi Street
191,Lidcombe,Dewrang Street
192,Lidcombe,Doodson Avenue
193,Lidcombe,Dudley Street
194,Lidcombe,East Street
195,Lidcombe,Edith Street
196,Lidcombe,Eglington Street
197,Lidcombe,Elimatta Street
198,Lidcombe,Eric Crescent
199,Lidcombe,Eucalyptus Street
200,Lidcombe,Farm Road
201,Lidcombe,Fox Walk
202,Lidcombe,Frampton Street
203,Lidcombe,Frances Street
204,Lidcombe,Frederick Street
205,Lidcombe,Freitas Lane
206,Lidcombe,Gallipoli Street
207,Lidcombe,George Street
208,Lidcombe,Georges Avenue
209,Lidcombe,Gillivers Place
210,Lidcombe,Gooreen Street
211,Lidcombe,Gordon Bray Circuit
212,Lidcombe,Gormley Street
213,Lidcombe,Grace Avenue
214,Lidcombe,Grevillea Crescent
215,Lidcombe,Hamilton Lane
216,Lidcombe,Hamilton Street
217,Lidcombe,Harry Avenue
218,Lidcombe,Hastings Street
219,Lidcombe,Hayes Street
220,Lidcombe,Henry Street
221,Lidcombe,Hill Road
222,Lidcombe,Humphrey Street
223,Lidcombe,Ironbark Crescent
224,Lidcombe,Ivor Street
225,Lidcombe,Jacaranda Avenue
226,Lidcombe,James Street
227,Lidcombe,Jay Street
228,Lidcombe,Jellicoe Street
229,Lidcombe,John Street
230,Lidcombe,Joseph Street
231,Lidcombe,Keating Street
232,Lidcombe,Kerrs Road
233,Lidcombe,Lakeview Crescent
234,Lidcombe,Lenore Place
235,Lidcombe,Lillian Street
236,Lidcombe,Livingstone Road
237,Lidcombe,London Road
238,Lidcombe,Louise Sauvage Pathway
239,Lidcombe,Macdermott Way
240,Lidcombe,Magnolia Avenue
241,Lidcombe,Main Avenue
242,Lidcombe,Mance Walk
243,Lidcombe,Mark Street
244,Lidcombe,Marsden Street
245,Lidcombe,Martin Street
246,Lidcombe,Mary Street
247,Lidcombe,Matthew Road
248,Lidcombe,Maud Street
249,Lidcombe,Mazepa Place
250,Lidcombe,Mcvicars Lane
251,Lidcombe,Metcalfe Lane
252,Lidcombe,Mills Street
253,Lidcombe,Milton Street
254,Lidcombe,Mons Street
255,Lidcombe,Murray Street
256,Lidcombe,Necropolis Drive
257,Lidcombe,Neville Street
258,Lidcombe,New Street
259,Lidcombe,Nicholas Street
260,Lidcombe,Noora Street
261,Lidcombe,Norman May Drive
262,Lidcombe,Nottinghill Road
263,Lidcombe,Nyrang Street
264,Lidcombe,Oleander Avenue
265,Lidcombe,Oliver Avenue
266,Lidcombe,Olympic Drive
267,Lidcombe,Ostend Street
268,Lidcombe,Oxford Street
269,Lidcombe,Palm Circuit
270,Lidcombe,Parramatta Road
271,Lidcombe,Pepper Tree Road
272,Lidcombe,Phoenix Palm Walk
273,Lidcombe,Pippita Road
274,Lidcombe,Platform Street
275,Lidcombe,Princess Street
276,Lidcombe,Railway Parade
277,Lidcombe,Railway Street
278,Lidcombe,Raphael Street
279,Lidcombe,Rawson Street
280,Lidcombe,Raymond Street
281,Lidcombe,Richmond Road
282,Lidcombe,Samuel Street
283,Lidcombe,Short Street
284,Lidcombe,Shortland Street
285,Lidcombe,Simla Street
286,Lidcombe,Simpsons Lane
287,Lidcombe,Sketchley Way
288,Lidcombe,Spotted Gum Avenue
289,Lidcombe,Stanley Road
290,Lidcombe,Stone Street
291,Lidcombe,Sussex Street
292,Lidcombe,Swete Street
293,Lidcombe,Tallowwood Avenue
294,Lidcombe,Taylor Street
295,Lidcombe,The Boulevarde 
296,Lidcombe,Tooheys Lane
297,Lidcombe,Turpentine Place
298,Lidcombe,Uhrig Road
299,Lidcombe,Union Street
300,Lidcombe,Vaughan Street
301,Lidcombe,Victoria Street
302,Lidcombe,Water Street
303,Lidcombe,Wattle Crescent
304,Lidcombe,Wayland Avenue
305,Lidcombe,Weeroona Road
306,Lidcombe,Western Motorway
307,Lidcombe,Wetherill Street
308,Lidcombe,Wilfred Street
309,Lidcombe,William Street
310,Lidcombe,Woodburn Road
311,Lidcombe,Yarram Street
312,Lochiel,Back Creek Trail
313,Lochiel,Back Creek Road
