,suburb,address name
0,Neath,Aberdare Street
1,Neath,Caledonia Street
2,Neath,Carrs Road
3,Neath,Cessnock Road
4,Neath,Colliery Street
5,Neath,David Street
6,Neath,Fisher Street
7,Neath,Henderson Street
8,Neath,Kemp Street
9,Neath,Neath Road
10,Neath,Northumberland Street
11,Neath,Turner Street
12,North Albury,Albetta Crescent
13,North Albury,Alemein Avenue
14,North Albury,Alemein Court
15,North Albury,Allawah Street
16,North Albury,Banks Street
17,North Albury,Baratta Street
18,North Albury,Bardia Street
19,North Albury,Barooga Street
20,North Albury,Bateman Place
21,North Albury,Batten Street
22,North Albury,Bellevue Street
23,North Albury,Boronia Street
24,North Albury,Bralgon Street
25,North Albury,Buchhorn Lane
26,North Albury,Buckingham Street
27,North Albury,Buna Street
28,North Albury,Bunton Street
29,North Albury,Burrows Road
30,North Albury,Byron Street
31,North Albury,Calimo Street
32,North Albury,Captain Cook Drive
33,North Albury,Caratel Street
34,North Albury,Carcoola Street
35,North Albury,Caroline Avenue
36,North Albury,Cattlin Avenue
37,North Albury,Cogdell Street
38,North Albury,Coolaroo Court
39,North Albury,Corella Street
40,North Albury,Curlew Crescent
41,North Albury,Currawong Street
42,North Albury,Darke Street
43,North Albury,David 
44,North Albury,David Street
45,North Albury,Dick Road
46,North Albury,Diggers Road
47,North Albury,Dowling Court
48,North Albury,Duffy Crescent
49,North Albury,Eames Street
50,North Albury,East Street
51,North Albury,Eden Street
52,North Albury,Elmore Street
53,North Albury,Endeavour Place
54,North Albury,Fairview Drive
55,North Albury,Fairway Grove
56,North Albury,Fallon Street
57,North Albury,Frauenfelder Street
58,North Albury,Garland Avenue
59,North Albury,Glenly Street
60,North Albury,Gordon Grove
61,North Albury,Green Place
62,North Albury,Gulpha Street
63,North Albury,Hague Avenue
64,North Albury,Hicks Place
65,North Albury,Hope Court
66,North Albury,Horan Court
67,North Albury,Howe Place
68,North Albury,Hume Highway
69,North Albury,Irene Court
70,North Albury,Jackson Place
71,North Albury,Jelbart Road
72,North Albury,Jet Street
73,North Albury,John Court
74,North Albury,Kestrel Street
75,North Albury,Knight Road
76,North Albury,Kokoda Street
77,North Albury,Kooba Street
78,North Albury,Koonwarra Street
79,North Albury,Kurnell Street
80,North Albury,Leslie Drive
81,North Albury,Logan Road
82,North Albury,Lowry Street
83,North Albury,Mardross Court
84,North Albury,Mate Street
85,North Albury,Matra Place
86,North Albury,Metry Street
87,North Albury,Milton Street
88,North Albury,Monkhouse Place
89,North Albury,Moore Street
90,North Albury,North Street
91,North Albury,Nowra Street
92,North Albury,Orton Place
93,North Albury,Park Avenue
94,North Albury,Parkland Crescent
95,North Albury,Pauls Lane
96,North Albury,Plover Street
97,North Albury,Racecourse Road
98,North Albury,Ramsden Drive
99,North Albury,Regina Avenue
100,North Albury,Resolution Street
101,North Albury,Ruth Street
102,North Albury,Ryan Road
103,North Albury,Shipard Road
104,North Albury,Smith Street
105,North Albury,Solander Street
106,North Albury,Stephen Street
107,North Albury,St James Crescent
