,suburb,address name
0,Oakhampton,Dillons Lane
1,Oakhampton,Jenkins Road
2,Oakhampton,Kezia Road
3,Oakhampton,Lake Trail
4,Oakhampton,North Willards Lane
5,Oakhampton,Oakhampton Road
6,Oakhampton,Oakhampton Station Road
7,Oakhampton,Scobies Lane
8,Oakhampton,Waterworks Road
9,Oakhampton Heights,Forest Hill Drive
10,Oakhampton Heights,Hopman Close
11,Oakhampton Heights,Lake Trail
12,Oakhampton Heights,Scobies Lane
13,Oakhampton Heights,South Willards Lane
14,Oswald,Oswald Lane
15,Oswald,Oswald Road
16,Oban,Glassers Road
17,Oban,Kerslakes Road
18,Oban,Mount Mitchell Road
19,Oban,Wards Mistake Road
20,Old Bonalbo,Clarence Way
21,Old Bonalbo,Duck Creek Road
22,Old Bonalbo,Lachlan Street
23,Old Bonalbo,Pioneer Lane
24,Old Bonalbo,Prince Street
25,Old Bonalbo,Robertson Street
26,Old Bonalbo,Shorts Road
27,Old Bonalbo,Sinclair Street
28,Oakdale,Acacia Avenue
29,Oakdale,Ammon Place
30,Oakdale,Banksia Place
31,Oakdale,Barkers Lodge Road
32,Oakdale,Blattman Avenue
33,Oakdale,Blue Wren Place
34,Oakdale,Brendon Place
35,Oakdale,Bridle Avenue
36,Oakdale,Burragorang Road
37,Oakdale,Craigend Road
38,Oakdale,Dean Close
39,Oakdale,Dietz Lane
40,Oakdale,Egans Road
41,Oakdale,Garbutt Place
42,Oakdale,Halliday Road
43,Oakdale,Halliday Road-w9c 
44,Oakdale,Harrison Lane
45,Oakdale,Hermitage Road
46,Oakdale,Hutchinsons Road
47,Oakdale,Janette Place
48,Oakdale,Kerry Place
49,Oakdale,Kingsell Road
50,Oakdale,Longfield Lane
51,Oakdale,Maria Place
52,Oakdale,Mill Road
53,Oakdale,Moore Road
54,Oakdale,New Jerusalem Road
55,Oakdale,Nolan Road
56,Oakdale,Old Jerusalem Road
57,Oakdale,Ridge Road
58,Oakdale,Rockbarton Road
59,Oakdale,Russell Lane
60,Oakdale,Shayne Court
61,Oakdale,Sheehys Creek Road
62,Oakdale,Sheehys Creek Firetrail
63,Oakdale,Steveys Forest Road
64,Oakdale,Tamara Close
65,Oakdale,W10a Firetrail
66,Oakdale,W10c Firetrail
67,Oakdale,W10e Firetrail
68,Oakdale,W10f Firetrail
69,Oakdale,W10h Firetrail
70,Oakdale,W10u Firetrail
71,Oakdale,W10w Firetrail
72,Oakdale,W9 Firetrail
73,Oakdale,W9a Firetrail
74,Oakdale,W9c Firetrail
75,Oakdale,W9d Firetrail
76,Oakdale,W9f Firetrail
77,Oakdale,Wild Oaks Road
78,Oakdale,Willis Street
79,Oakdale,Wineshop Road
80,Oxford Falls,Aroona Road
81,Oxford Falls,Corymbia Circuit
82,Oxford Falls,Dreadnought Road
83,Oxford Falls,Kellys Way
84,Oxford Falls,Meatworks Avenue
85,Oxford Falls,Morgan Road
86,Oxford Falls,Oxford Falls Road
87,Oxford Falls,Slippery Dip Trail
88,Oxford Falls,Spicer Road
89,Oxford Falls,Wakehurst Parkway
90,Oxford Falls,Wearden Road
91,Oaklands,Ambleside Road
92,Oaklands,Answerth Drive
93,Oaklands,Back Berrigan Road
94,Oaklands,Baileys Road
95,Oaklands,Battens Lane
96,Oaklands,Beales Road
97,Oaklands,Berrigan Oaklands Road
98,Oaklands,Bonnie Doon Road
99,Oaklands,Brookong Street
100,Oaklands,Buller Street
101,Oaklands,Cemetery Road
102,Oaklands,Claremont Road
103,Oaklands,Clear Hills Road
104,Oaklands,Coorabbin Road
105,Oaklands,Coreen Street
106,Oaklands,Corowa Road
107,Oaklands,Dalitzs Road
108,Oaklands,Darcys Road
109,Oaklands,Day Road
110,Oaklands,Daysdale Road
111,Oaklands,Daysdale Street
112,Oaklands,Doctors Road
113,Oaklands,Doyles Road
114,Oaklands,Edina Road
115,Oaklands,Emu Park Road
116,Oaklands,Federation Way
117,Oaklands,French Street
118,Oaklands,Gaffney Street
119,Oaklands,Gain Lane
120,Oaklands,Gunambil Street
121,Oaklands,Harbingers Road
122,Oaklands,Harris Hut Road
123,Oaklands,Heatherly Road
124,Oaklands,Hollands Road
125,Oaklands,Hunter Street
126,Oaklands,Jerilderie Oaklands Road
127,Oaklands,Kilpatrick Street
128,Oaklands,Kilpatricks Road
129,Oaklands,Maxwelton Road
130,Oaklands,Mckay Road
131,Oaklands,Mclaren Street
132,Oaklands,Methuen Street
133,Oaklands,Milthorpe Street
134,Oaklands,Minns Road
135,Oaklands,Mulwala Road
136,Oaklands,Murray Street
137,Oaklands,Narrow Plains Road
138,Oaklands,Nixon Street
139,Oaklands,Norwonga Road
140,Oaklands,Nowranie Road
141,Oaklands,Nyora School Road
142,Oaklands,Oaklands Road
