,suburb,address name
0,Parkes,Ackroyd Street
1,Parkes,Ainsworth Street
2,Parkes,Aitken Lane
3,Parkes,Akuna Road
4,Parkes,Albert Street
5,Parkes,Alder Avenue
6,Parkes,Alexandra Street
7,Parkes,Alkira Lane
8,Parkes,Alluvial Street
9,Parkes,Andrew Stewart Road
10,Parkes,Angeleish Avenue
11,Parkes,Apara Road
12,Parkes,Arana Place
13,Parkes,Armstrong Street
14,Parkes,Austral Street
15,Parkes,Avoca Place
16,Parkes,Back Trundle Road
17,Parkes,Back Yamma Road
18,Parkes,Baker Street
19,Parkes,Ballerdee Lane
20,Parkes,Banjo Place
21,Parkes,Barkers Road
22,Parkes,Barton Street
23,Parkes,Basil Avenue
24,Parkes,Beargamil Lane
25,Parkes,Belmore Avenue
26,Parkes,Best Street
27,Parkes,Billabong Crescent
28,Parkes,Billy Mac Place
29,Parkes,Bindogundra Road
30,Parkes,Birch Road
31,Parkes,Birthday Lane
32,Parkes,Blaxland Street
33,Parkes,Bleechmore Road
34,Parkes,Boazman Street
35,Parkes,Bogan Street
36,Parkes,Bogan Road
37,Parkes,Bollinger Street
38,Parkes,Bowditch Crescent
39,Parkes,Boyd Circuit
40,Parkes,Brolgan Road
41,Parkes,Browne Street
42,Parkes,Bushman Street
43,Parkes,Caledonia Street
44,Parkes,Callaghan Street
45,Parkes,Captain Wilson Avenue
46,Parkes,Carinya Street
47,Parkes,Carmelite Close
48,Parkes,Carrington Street
49,Parkes,Cashmere Road
50,Parkes,Cecile Street
51,Parkes,Cedar Crescent
52,Parkes,Charles Barber Close
53,Parkes,Charles Rigg Avenue
54,Parkes,Cheney Road
55,Parkes,Cherry Gardens Lane
56,Parkes,Christina Close
57,Parkes,Church Street
58,Parkes,Clancy Place
59,Parkes,Clarinda Street
60,Parkes,Clarke Street
61,Parkes,Close Street
62,Parkes,Cobden Place
63,Parkes,Cobleys Lane
64,Parkes,Coleman Street
65,Parkes,Condobolin Road
66,Parkes,Cons Lane
67,Parkes,Coobang Road
68,Parkes,Cooka Hills Road
69,Parkes,Cookamidgera Road
70,Parkes,Cookapie Street
71,Parkes,Cooke Street
72,Parkes,Coolabah Drive
73,Parkes,Coopers Road
74,Parkes,Coronation Avenue
75,Parkes,Court Street
76,Parkes,Currajong Street
77,Parkes,Dalley Street
78,Parkes,Dalton Street
79,Parkes,Danilenko Street
80,Parkes,Davids Lane
81,Parkes,Davies Lane
82,Parkes,Deep Lead Road
83,Parkes,Docos Road
84,Parkes,Dog Leg Lane
85,Parkes,Downes Crescent
86,Parkes,Drummond Street
87,Parkes,Dunns Lane
88,Parkes,Dwyers Road
89,Parkes,East Street
90,Parkes,Ebelina Crescent
91,Parkes,Elizabeth Street
92,Parkes,Elouera Place
93,Parkes,Emerton Road
94,Parkes,Endeavour Place
95,Parkes,Endicott Road
96,Parkes,Eugowra Road
97,Parkes,Evans Parade
98,Parkes,Evans Place
99,Parkes,Fahey Road
100,Parkes,Farrer Street
101,Parkes,Faull Crescent
102,Parkes,Federal Street
103,Parkes,Field Road
