,suburb,address name
0,Scone,Aberdeen Street
1,Scone,Airfield Road
2,Scone,Alabama Street
3,Scone,Allan Cunningham Road
4,Scone,Askin Close
5,Scone,Barton Street
6,Scone,Belmore Street
7,Scone,Bhima Drive
8,Scone,Bingle Street
9,Scone,Birrell Street
10,Scone,Boronia Street
11,Scone,Bottlebrush Place
12,Scone,Bunnan Road
13,Scone,Carlyle Street
14,Scone,Caulfield Place
15,Scone,Cliftlands Road
16,Scone,Common Road
17,Scone,Cook Street
18,Scone,Coolibah Street
19,Scone,Cooper Street
20,Scone,Dangar Street
21,Scone,Davies Street
22,Scone,Derby Close
23,Scone,Dodd Street
24,Scone,Doyle Street
25,Scone,Eveleigh Court
26,Scone,Flemington Drive
27,Scone,Forbes Street
28,Scone,Gould Street
29,Scone,Gray Street
30,Scone,Guernsey Street
31,Scone,Gundy Road
32,Scone,Gunsynd Close
33,Scone,Halstead Close
34,Scone,Hayes Street
35,Scone,Heffron Close
36,Scone,Hill Street
37,Scone,Honeysuckle Crescent
38,Scone,Ibis Place
39,Scone,Invermien Road
40,Scone,Joan Street
41,Scone,Kareen Place
42,Scone,Kelly Street
43,Scone,Kilgallin Close
44,Scone,Kingdon Street
45,Scone,Kingfisher Crescent
46,Scone,Koala Street
47,Scone,Kookaburra Avenue
48,Scone,Lang Place
49,Scone,Little Street
50,Scone,Liverpool Street
51,Scone,Macartney Place
52,Scone,Main Street
53,Scone,Mcloughlin Street
54,Scone,Middlebrook Drive
55,Scone,Middlebrook Road
56,Scone,Moobi Road
57,Scone,Moonee Valley Close
58,Scone,Morse Street
59,Scone,Mount Street
60,Scone,Muffett Street
61,Scone,Mulga Street
62,Scone,New Street
63,Scone,New England Highway
64,Scone,Noblet Road
65,Scone,Nyarra Street
66,Scone,Orthes Street
67,Scone,Oxford Road
68,Scone,Parbury Place
69,Scone,Park Street
70,Scone,Parker Street
71,Scone,Philip Street
72,Scone,Ranch Road
73,Scone,Randwick Way
74,Scone,Redbank Drive
75,Scone,Renshaw Close
76,Scone,Rosehill Road
77,Scone,Satur Road
78,Scone,Scott Street
79,Scone,Seaward Avenue
80,Scone,Shaw Street
81,Scone,Sherwood Street
82,Scone,Short Street
83,Scone,Sledmere Close
84,Scone,Smith Street
85,Scone,Smiths Road
86,Scone,Stafford Street
87,Scone,Stanstead Close
88,Scone,St Aubins Street
89,Scone,Surman Street
90,Scone,Susan Street
91,Scone,Sydney Street
92,Scone,Towarri Street
93,Scone,Tulloch Close
94,Scone,Turanville Road
95,Scone,Walter Pye Avenue
96,Scone,Waratah Street
97,Scone,Wareemba Street
98,Scone,Waverley Street
99,Scone,Wingen Street
100,St Helens Park,Alyan Place
101,St Helens Park,Anderson Street
102,St Helens Park,Andrews Place
103,St Helens Park,Appin Road
104,St Helens Park,Austral Place
105,St Helens Park,Barnard Place
106,St Helens Park,Baynton Place
107,St Helens Park,Benny Place
108,St Helens Park,Bettong Place
109,St Helens Park,Bird Place
110,St Helens Park,Bobuck Place
111,St Helens Park,Bonney Close
112,St Helens Park,Boongary Street
113,St Helens Park,Brice Way
114,St Helens Park,Briggs Place
115,St Helens Park,Busch Place
116,St Helens Park,Cameron Place
117,St Helens Park,Carandini Street
118,St Helens Park,Carbasse Crescent
119,St Helens Park,Catchpole Street
120,St Helens Park,Cne Lane
121,St Helens Park,Collier Close
122,St Helens Park,Cowan Place
123,St Helens Park,Crommelin Crescent
124,St Helens Park,Cusack Close
125,St Helens Park,Cuscus Place
126,St Helens Park,Dalkeith Place
127,St Helens Park,Davy Place
128,St Helens Park,Denfield Circuit
129,St Helens Park,Derwin Road
130,St Helens Park,Dewey Place
131,St Helens Park,Dexter Street
132,St Helens Park,Dibbler Place
133,St Helens Park,Durack Place
134,St Helens Park,Dwyer Place
135,St Helens Park,Elliot Place
136,St Helens Park,Farrar Place
137,St Helens Park,Fitton Place
138,St Helens Park,Fitzgibbon Lane
139,St Helens Park,Fiveash Street
140,St Helens Park,Fullerton Circuit
141,St Helens Park,Gallagher Street
142,St Helens Park,Gibbs Place
143,St Helens Park,Greengate Road
144,St Helens Park,Greenwood Place
145,St Helens Park,Gunn Place
146,St Helens Park,Harwood Place
147,St Helens Park,Heritage Heights Circuit
148,St Helens Park,Holman Place
149,St Helens Park,Ironside Avenue
150,St Helens Park,Jull Place
151,St Helens Park,Karrabul Road
152,St Helens Park,Kellerman Drive
153,St Helens Park,Kenny Close
154,St Helens Park,Kowari Street
155,St Helens Park,Larapinta Crescent
156,St Helens Park,Lavender Court
157,St Helens Park,Litchfield Place
158,St Helens Park,Lovely Place
159,St Helens Park,Lynwood Road
160,St Helens Park,Mackillop Crescent
161,St Helens Park,Mackinnon Street
162,St Helens Park,Mann Place
163,St Helens Park,Marloo Place
164,St Helens Park,Melba Place
165,St Helens Park,Meredith Crescent
166,St Helens Park,Merino Crescent
167,St Helens Park,Merrin Close
168,St Helens Park,Moncrieff Close
169,St Helens Park,Mongon Place
170,St Helens Park,Moss Place
171,St Helens Park,Mulgara Place
172,St Helens Park,Mundarda Place
173,St Helens Park,Osburn Place
174,St Helens Park,Pademelon Avenue
175,St Helens Park,Parma Crescent
176,St Helens Park,Potoroo Avenue
177,St Helens Park,Quenda Place
178,St Helens Park,Quokka Place
179,St Helens Park,Rangers Road
180,St Helens Park,Robson Crescent
181,St Helens Park,Spence Place
182,St Helens Park,St Helens Park Drive
183,St Helens Park,Tammar Place
184,St Helens Park,Tungoo Place
185,St Helens Park,Warrung Road
186,St Helens Park,Waterworth Place
187,St Helens Park,Wedderburn Road
188,St Helens Park,Whorlong Street
189,St Helens Park,Windeyer Place
190,St Helens Park,Wintaroo Crescent
191,St Helens Park,Withnell Crescent
192,St Helens Park,Woodland Road
193,St Helens Park,Woylie Place
194,St Helens Park,Yallara Street
195,South Albury,Abercorn Street
196,South Albury,Atkins Street
197,South Albury,Bridge Street
198,South Albury,Butson Avenue
199,South Albury,Charles Street
200,South Albury,David Street
201,South Albury,East Street
202,South Albury,Ebden Street
203,South Albury,Fleming Street
204,South Albury,Hovell Street
205,South Albury,Hume Street
206,South Albury,Hume Highway
207,South Albury,Kiewa Street
208,South Albury,Landsdowne Street
209,South Albury,Macauley Street
210,South Albury,Mcalroy Mews
211,South Albury,Nurigong Street
212,South Albury,Olive Street
213,South Albury,Panmure Street
214,South Albury,Plummer Street
215,South Albury,Railway Place
216,South Albury,Richs Lane
217,South Albury,Thomas Street
218,South Albury,Townsend Street
219,South Albury,Willowbank Road
220,South Albury,Wodonga Place
221,South West Rocks,Albert Harrower Crescent
222,South West Rocks,Arakoon Road
223,South West Rocks,Arthur Street
224,South West Rocks,Athol Elliot Place
225,South West Rocks,Austin Street
226,South West Rocks,Baldwin Street
227,South West Rocks,Bayview Street
228,South West Rocks,Beech Place
229,South West Rocks,Belle O'connor Street
230,South West Rocks,Bore Fields Trail
231,South West Rocks,Bruce Field Street
232,South West Rocks,Buchanan Drive
233,South West Rocks,Burrawong Drive
234,South West Rocks,Carroll Street
235,South West Rocks,Cod Place
236,South West Rocks,Colonial Crescent
237,South West Rocks,Cook Drive
238,South West Rocks,Cooper Street
239,South West Rocks,Crystal Place
240,South West Rocks,Currawong Crescent
241,South West Rocks,Delmer Close
242,South West Rocks,Dennis Crescent
243,South West Rocks,Dilberang Close
244,South West Rocks,Dolphin Crescent
245,South West Rocks,Dorshae Close
246,South West Rocks,Edinburgh Lane
247,South West Rocks,Elizabeth Street
248,South West Rocks,Emanuel Crescent
249,South West Rocks,Entrance Street
250,South West Rocks,Eric Fittler Place
251,South West Rocks,Everglades Place
252,South West Rocks,Fairway Place
253,South West Rocks,Fig Tree Lane
