,suburb,address name
0,Valery,Alfords Trail
1,Valery,Ayres Rock Road
2,Valery,Baileys Road
3,Valery,Bamboo Road
4,Valery,Beanz Trail
5,Valery,Block Nob Road
6,Valery,Box Trees Road
7,Valery,Briggenshaws Road
8,Valery,Bucket Trail
9,Valery,Burkes Road
10,Valery,Byrnes Trail
11,Valery,Cabans Road
12,Valery,Cabbage Tree Road
13,Valery,Cable Trail
14,Valery,Caines Hill Trail
15,Valery,Capararos Road
16,Valery,Caseys Road
17,Valery,Chimney Road
18,Valery,Cpt 33/1 Trail
19,Valery,Cpt 34/1 Fire Road
20,Valery,Cpt 36/1 Trail
21,Valery,Cpt 36/2 Trail
22,Valery,Cpt 36/3 Trail
23,Valery,Cpt 36/4 Fire Road
24,Valery,Cpt 40/1 Trail
25,Valery,Cpt 40/2 Trail
26,Valery,Cpt 41/1 Fire Road
27,Valery,Cpt 42/1 Firetrail
28,Valery,Cpt 43/1 Trail
29,Valery,Cpt 44/1 Trail
30,Valery,Cpt 45/1 Trail
31,Valery,Cpt 45/2 Trail
32,Valery,Cpt 47/5 Trail
33,Valery,Cpt 47/5 Fire Road
34,Valery,Cpt 64/1 Trail
35,Valery,Cpt 69/1 Trail
36,Valery,Cpt 77/1 Trail
37,Valery,Crawfords Road
38,Valery,Crossmaglen Road
39,Valery,Dalray Trail
40,Valery,Darkys Corner Road
41,Valery,Devos Trail
42,Valery,Flying Fox Trail
43,Valery,Frontage Creek Road
44,Valery,Fullers Road
45,Valery,Godfreys Road
46,Valery,Gordons Road
47,Valery,Granite Pit Road
48,Valery,Griffiths Trail
49,Valery,Halls Road
50,Valery,Hamiltons Road
51,Valery,Hammonds Road
52,Valery,Harrys Road
53,Valery,Heinzs Trail
54,Valery,Hoop Pine Trail
55,Valery,Howards Road
56,Valery,Hubbards Peak Trail
57,Valery,Hydes Creek Road
58,Valery,Keevers Drive
59,Valery,Kethels Road
60,Valery,Little Hydes Creek Road
61,Valery,Mailmans Track Road
62,Valery,Mcmullens Road
63,Valery,Mill Road
64,Valery,Nanbervis Trail
65,Valery,Neaves Trail
66,Valery,Northcotts Trail
67,Valery,Old Bar Road
68,Valery,Olgas Road
69,Valery,Pacific Highway
70,Valery,Passlows Trail
71,Valery,Peak Trail
72,Valery,Pettits Hills 
73,Valery,Piggots Trail
74,Valery,Potties Bridge Trail
75,Valery,Powerline Trail
76,Valery,Reids Trail
77,Valery,Rigneys Trail
78,Valery,Roachs Road
79,Valery,Savins Road
80,Valery,Seaview Road
81,Valery,Shearems Trail
82,Valery,Slarkes Road
83,Valery,Suttons Road
84,Valery,Terrys Trail
85,Valery,Timboon Road
86,Valery,Tower Road
87,Valery,Valery Road
88,Valery,Warwicks Road
89,Valery,Whipstick Trail
90,Valery,Winters Road
91,Valley Heights,Angophora Place
92,Valley Heights,Banksia Drive
93,Valley Heights,Cambridge Street
94,Valley Heights,Cassam Place
95,Valley Heights,Coolabah Road
96,Valley Heights,Currawong Avenue
97,Valley Heights,Foster Street
98,Valley Heights,Great Western Highway
99,Valley Heights,Green Parade
100,Valley Heights,Grevillea Path
101,Valley Heights,Jordan Lane
102,Valley Heights,Macquarie Road
103,Valley Heights,Peninsula Road
104,Valley Heights,Railway Parade
105,Valley Heights,Russell Avenue
106,Valley Heights,Tayler Road
107,Valley Heights,The Avenue 
108,Valley Heights,The Chase 
109,Valley Heights,The Valley Road 
110,Valley Heights,Tree Tops Place
111,Valley Heights,Tusculum Road
112,Valley Heights,Waratah Road
113,Valley Heights,Wyoming Avenue
114,Vittoria,Arboretum Drive
115,Vittoria,Callans Lane
116,Vittoria,Cashens Lane
117,Vittoria,Dungeon Road
118,Vittoria,East Guyong Road
119,Vittoria,Farm Trees Drive
