,suburb,address name
0,Wareemba,Bourke Place
1,Wareemba,Bouvardia Street
2,Wareemba,Cecil Street
3,Wareemba,Coralie Street
4,Wareemba,Coranto Street
5,Wareemba,Edenholme Road
6,Wareemba,Gartfern Avenue
7,Wareemba,Great North Road
8,Wareemba,Hampden Road
9,Wareemba,Hill Street
10,Wareemba,Irene Street
11,Wareemba,Kirrang Street
12,Wareemba,Pine Avenue
13,Wareemba,Reginald Street
14,Wareemba,Rowley Road
15,Wareemba,Tyler Crescent
16,Wareemba,Wareemba Street
17,Wareemba,Wymston Lane
18,Wareemba,Wymston Parade
19,Wards Mistake,Folley Lane
20,Wards Mistake,Kookabookra Road
21,Wards Mistake,Naylors Road
22,Wards Mistake,Nowlands Road
23,Wards Mistake,Oakvale Road
24,Wards Mistake,Paddysland Road
25,Wards Mistake,Riverview Road
26,Wards Mistake,The Flags Road 
27,Wards Mistake,Wards Mistake Road
28,Wards Mistake,Waverley Road
29,Wondalga,Adelong Creek Road
30,Wondalga,Back Arragons Road
31,Wondalga,Batlow Road
32,Wondalga,Bb Feeder Road
33,Wondalga,Gold Smelter Road
34,Wondalga,Greenhills Road
35,Wondalga,Macks Road
36,Wondalga,Northern Boundary Road
37,Wondalga,Old Tumbarumba Road
38,Wondalga,Prince Street
39,Wondalga,Scotties Hut Road
40,Wondalga,Sharps Creek Road
41,Wondalga,Stud Horse Feeder Road
42,Wondalga,Wondalga Road
43,Warnervale,Albert Warner Drive
44,Warnervale,Aldenham Road
45,Warnervale,Bruce Crescent
46,Warnervale,Burnet Road
47,Warnervale,Doherty Close
48,Warnervale,Jack Grant Avenue
49,Warnervale,Kanowna Road
50,Warnervale,Nikko Road
51,Warnervale,Railway Road
52,Warnervale,Sparks Road
53,Warnervale,St Albans Road
54,Warnervale,St Johns Road
55,Warnervale,Sun Dew Close
56,Warnervale,Sydney Newcastle Freeway
57,Warnervale,Virginia Road
58,Warnervale,Warnervale Road
59,Warnervale,Warren Road
60,Warnervale,Woolworths Way
61,Warnervale,Wyreema Road
62,Wyee,Badjewoi Street
63,Wyee,Baxter Lane
64,Wyee,Bethshan Street
65,Wyee,Binalong Way
66,Wyee,Binbrook Road
67,Wyee,Boikonumba Road
68,Wyee,Bukkai Road
69,Wyee,Bungaree Street
70,Wyee,Bushells Ridge Road
71,Wyee,Cemetery Road
72,Wyee,Colleen Lane
73,Wyee,Collungra Street
74,Wyee,Coolamin Street
75,Wyee,Darlingup Road
76,Wyee,Digary Road
77,Wyee,Dillabirra Road
78,Wyee,Dyce Road
79,Wyee,Esther Street
80,Wyee,Ethel Street
81,Wyee,Fifth Avenue
82,Wyee,Fire Station Lane
83,Wyee,First Avenue
84,Wyee,Foley Road
85,Wyee,Forest Road
86,Wyee,Fourth Avenue
87,Wyee,Frog Hollow 
