,suburb,address name
0,Zara,Astron Road
1,Zara,Rawsons Road
2,Zara,Vidler Road
3,Zara,Zara Road
4,Zetland,Ascot Avenue
5,Zetland,Austin Grove
6,Zetland,Botany Road
7,Zetland,Bourke Street
8,Zetland,Chester Lane
9,Zetland,Christies Lane
10,Zetland,Cook Lane
11,Zetland,Cooper Place
12,Zetland,Dalmeny Avenue
13,Zetland,Defries Avenue
14,Zetland,Dowling Street
15,Zetland,Dunning Avenue
16,Zetland,Eastern Distributor 
17,Zetland,Elizabeth Street
18,Zetland,Emanuel Lane
19,Zetland,Epsom Road
20,Zetland,Gadigal Avenue
21,Zetland,George Julius Avenue
22,Zetland,Grandstand Parade
23,Zetland,Hansard Street
24,Zetland,Hutchinson Walk
25,Zetland,Joynton Avenue
26,Zetland,Kirby Walk
27,Zetland,Levey Walk
28,Zetland,Levy Walk
29,Zetland,Leyland Grove
30,Zetland,Link Road
31,Zetland,Mcpherson Lane
32,Zetland,Mentmore Avenue
33,Zetland,Merton Street
34,Zetland,Morris Grove
35,Zetland,Navins Lane
36,Zetland,O'dea Avenue
37,Zetland,Portman Street
38,Zetland,Portman Lane
39,Zetland,Rothschild Avenue
40,Zetland,South Dowling Street
41,Zetland,Southern Cross Drive
42,Zetland,Tilford Street
43,Zetland,Tosh Lane
44,Zetland,Victoria Park Parade
45,Zetland,Wolseley Grove
