,suburb,address name
0,Aarons Pass,Aarons Pass Road
1,Aarons Pass,Bombandi Road
2,Aarons Pass,Castlereagh Highway
3,Aarons Pass,Crudine Road
4,Aarons Pass,Perrams Road
5,Abbotsbury,Balson Close
6,Abbotsbury,Bancroft Road
7,Abbotsbury,Begovich Crescent
8,Abbotsbury,Bellette Close
9,Abbotsbury,Bossley Road
10,Abbotsbury,Brack Close
11,Abbotsbury,Cochran Place
12,Abbotsbury,Comin Place
13,Abbotsbury,Condor Close
14,Abbotsbury,Cowpasture Road
15,Abbotsbury,Dalbertis Street
16,Abbotsbury,Darling Street
17,Abbotsbury,Dixon Street
18,Abbotsbury,Driscoll Street
19,Abbotsbury,Edensor Road
20,Abbotsbury,Elizabeth Drive
21,Abbotsbury,Falmer Street
22,Abbotsbury,Forbes Close
23,Abbotsbury,Gleeson Place
24,Abbotsbury,Glenton Street
25,Abbotsbury,Gouda Close
26,Abbotsbury,Hackett Road
27,Abbotsbury,Heatley Close
28,Abbotsbury,Heysen Street
29,Abbotsbury,Hickey Close
30,Abbotsbury,Hinder Close
31,Abbotsbury,Horn Close
32,Abbotsbury,Ilford Place
33,Abbotsbury,Kiernan Crescent
34,Abbotsbury,Kingston Place
35,Abbotsbury,Lanceley Place
36,Abbotsbury,Lewers Close
37,Abbotsbury,Mariner Crescent
38,Abbotsbury,Martens Place
39,Abbotsbury,Maxwell Place
40,Abbotsbury,Nerli Street
41,Abbotsbury,Nowland Place
42,Abbotsbury,Ogden Close
43,Abbotsbury,Pendlebury Place
44,Abbotsbury,Perceval Close
45,Abbotsbury,Procter Close
46,Abbotsbury,Province Street
47,Abbotsbury,Rafter Crescent
48,Abbotsbury,Reach Close
49,Abbotsbury,Roony Avenue
50,Abbotsbury,Rutar Place
51,Abbotsbury,Seidel Place
52,Abbotsbury,Sibley Close
53,Abbotsbury,Stockdale Crescent
54,Abbotsbury,Tell Close
55,Abbotsbury,The Horsley Drive 
56,Abbotsbury,Thorpe Place
57,Abbotsbury,Unsworth Street
58,Abbotsbury,Usher Close
59,Abbotsbury,Waterhouse Street
60,Abbotsbury,Watting Street
61,Abbotsbury,Westall Close
62,Abbotsbury,Westlink M7 
63,Abbotsbury,Whisson Close
64,Abbotsbury,Whitley Place
65,Abbotsbury,Withers Place
66,Abbotsbury,Woodman Place
67,Abbotsbury,Wylde Crescent
68,Abbotsford,Abbotsford Parade
69,Abbotsford,Abbotsford Cove Drive
70,Abbotsford,Altona Street
71,Abbotsford,Andersons Way
72,Abbotsford,Battersea Street
73,Abbotsford,Bechert Road
74,Abbotsford,Bickleigh Lane
75,Abbotsford,Bickleigh Street
76,Abbotsford,Blackwall Point Road
77,Abbotsford,Bourke Place
78,Abbotsford,Campbell Street
79,Abbotsford,Charlton Street
80,Abbotsford,Chatham Place
81,Abbotsford,Checkley Street
82,Abbotsford,Curtin Avenue
83,Abbotsford,Feilberg Place
84,Abbotsford,Figtree Avenue
85,Abbotsford,Fitzroy Street
86,Abbotsford,Florey Place
87,Abbotsford,Glen Lane
88,Abbotsford,Glen Ormond Avenue
89,Abbotsford,Gow Street
90,Abbotsford,Great North Road
91,Abbotsford,Harbourview Crescent
92,Abbotsford,Henry Lawson Avenue
93,Abbotsford,Hunter Street
94,Abbotsford,Irene Street
95,Abbotsford,Kokoda Street
96,Abbotsford,Lester Place
97,Abbotsford,Margaret Street
98,Abbotsford,Marmion Road
99,Abbotsford,Marmion Lane
100,Abbotsford,Mayne Lane
101,Abbotsford,Mcgirr Place
102,Abbotsford,Melrose Crescent
103,Abbotsford,Montrose Road
104,Abbotsford,Parkview Road
105,Abbotsford,Poolman Street
106,Abbotsford,Raynor Avenue
107,Abbotsford,Reserve Street
108,Abbotsford,Rokeby Road
109,Abbotsford,Spring Street
110,Abbotsford,St Albans Street
111,Abbotsford,Teviot Avenue
112,Abbotsford,The Terrace 
113,Abbotsford,Tyler Crescent
114,Abbotsford,Walton Lane
115,Abbotsford,Walton Crescent
116,Abbotsford,Weddle Avenue
117,Abbotsford,Werona Avenue
118,Abbotsford,Windward Parade
119,Abbotsford,Wymston Parade
120,Abbotsford,Wymston Lane
121,Abercrombie,Abercrombie Drive
122,Abercrombie,Appleblossom Grove
123,Abercrombie,Bayliss Street
124,Abercrombie,Blaxland Drive
125,Abercrombie,Bradwardine Road
126,Abercrombie,Country Way
127,Abercrombie,Cowpastures Grove
128,Abercrombie,Darwin Drive
129,Abercrombie,Davidson Street
130,Abercrombie,Dunoon Place
131,Abercrombie,Eglinton Road
132,Abercrombie,Farmgate Drive
133,Abercrombie,Hastings Place
134,Abercrombie,Hicks Close
135,Abercrombie,Honeysuckle Close
136,Abercrombie,Howarth Close
137,Abercrombie,Joubert Drive
138,Abercrombie,Oaklands Drive
139,Abercrombie,Ophir Road
140,Abercrombie,O'reilly Place
141,Abercrombie,Pryce Parade
142,Abercrombie,Rankens Bridge Road
143,Abercrombie,Riverside Retreat
144,Abercrombie,Scarborough Place
145,Abercrombie,Westbourne Drive
146,Abercrombie River,Abercrombie Road
147,Abercrombie River,Bald Ridge Road
148,Abercrombie River,Caves Road
149,Abercrombie River,Cubitts Trail
150,Abercrombie River,Curragh Road
151,Abercrombie River,Falls Road
152,Abercrombie River,Goulburn Road
153,Abercrombie River,Grove Creek Road
154,Abercrombie River,Lochaily Trail
155,Abercrombie River,Lochaily South Trail
156,Abercrombie River,Matchetts Road
157,Abercrombie River,Mount Gray Trail
158,Abercrombie River,Tom Kings Flat Trail
159,Abercrombie River,Tom Kings Flat East Trail
160,Aberdare,Aberdare Road
161,Aberdare,Brandis Street
162,Aberdare,Caledonian Street
163,Aberdare,Cessnock Road
164,Aberdare,Cessnock Street
165,Aberdare,Colliery Street
