,suburb,address name
0,Dartbrook,Dartbrook Road
1,Dartbrook,Halls Road
2,Dartbrook,Halls Lane
3,Dartbrook,Nandowra Road
4,Dartbrook,Netherton Road
5,Dartbrook,Rossgole Road
6,Dartbrook,The Bicentennial National Trail 
7,Dungog,Abbott Lane
8,Dungog,Abelard Street
9,Dungog,Baird Street
10,Dungog,Brown Street
11,Dungog,Burton Street
12,Dungog,Carlton Avenue
13,Dungog,Chapman Street
14,Dungog,Chichester Dam Road
15,Dungog,Clarence Town Road
16,Dungog,Common Road
17,Dungog,Cooreei Place
18,Dungog,Dowling Street
19,Dungog,Drovers Way
20,Dungog,Eloiza Street
21,Dungog,Fosterton Road
22,Dungog,Gladstone Street
23,Dungog,Hancock Avenue
24,Dungog,Hooke Street
25,Dungog,Hospital Road
26,Dungog,Industrial Close
27,Dungog,Jones Street
28,Dungog,Lord Street
29,Dungog,Mackay Street
30,Dungog,Mary Street
31,Dungog,Melbee Circuit
32,Dungog,Mill Lane
33,Dungog,Moore Street
34,Dungog,Myles Street
35,Dungog,Redman Lane
36,Dungog,Rens Street
37,Dungog,Reservoir Road
38,Dungog,Robertson Close
39,Dungog,Scott Avenue
40,Dungog,Scout Lane
41,Dungog,Short Street
42,Dungog,Simmonds Lane
43,Dungog,Stroud Hill Road
44,Dungog,Thalaba Road
45,Dungog,Verge Street
46,Dungog,Wade Street
47,Dungog,Wilkerson Place
48,Dungog,Windeyer Street
49,Douglas Park,Blades Place
50,Douglas Park,Camden Road
51,Douglas Park,Carra Avenue
52,Douglas Park,Douglas Park Drive
53,Douglas Park,Dowle Street
54,Douglas Park,Dredge Avenue
55,Douglas Park,Duggan Street
56,Douglas Park,Durham Street
57,Douglas Park,Gandangara Street
58,Douglas Park,Hopson Street
59,Douglas Park,Hume Highway
60,Douglas Park,Jenkins Street
61,Douglas Park,Mcwilliam Drive
62,Douglas Park,Menangle Road
63,Douglas Park,Mitchell Place
64,Douglas Park,Moreton Street
65,Douglas Park,Moreton Park Road
66,Douglas Park,Nepean Street
67,Douglas Park,Park Street
68,Douglas Park,Prices Road
69,Douglas Park,Railway Parade
70,Douglas Park,Station Street
71,Douglas Park,Sullivan Road
72,Douglas Park,Trentham Avenue
73,Douglas Park,Whitticase Lane
74,Douglas Park,Wrightson Way
75,Dangarsleigh,Black Lane
76,Dangarsleigh,Coxs Road
77,Dangarsleigh,Dangars Falls Road
78,Dangarsleigh,Dangarsleigh Road
79,Dangarsleigh,Edwards Lane
80,Dangarsleigh,Elliots Road
81,Dangarsleigh,Enmore Road
82,Dangarsleigh,Harveys Road
83,Dangarsleigh,Knobs Road
84,Dangarsleigh,Long Swamp Road
85,Dangarsleigh,Simmons Road
86,Donald Creek,Campton Road
87,Donald Creek,Donald Road
88,Donald Creek,Herbert Park Road
89,Dumaresq,Bellebrook East Road
90,Dumaresq,Boorolong Road
91,Dumaresq,Claremont Road
92,Dumaresq,Exmouth Road
93,Dumaresq,Kialami Road
94,Dumaresq,Toms Gully Road
95,Dumaresq,Warrane Road
96,Duval,Duval Firetrail
97,Duval,Newholme Road
98,Duval,Reserve Access Trail
99,Daysdale,Argus Road
100,Daysdale,Beales Road
101,Daysdale,Bells Road
102,Daysdale,Belmore Street
103,Daysdale,Blue Road
104,Daysdale,Bynedale Road
105,Daysdale,Coads Tank Road
106,Daysdale,Cook Street
107,Daysdale,Coreen Creek Road
108,Daysdale,Coreen Vale Road
109,Daysdale,Daveys Hill Road
110,Daysdale,Daysdale-walbundrie Road
111,Daysdale,Denison Street
112,Daysdale,Duncans Road
113,Daysdale,Elliots Road
114,Daysdale,Federation Way
115,Daysdale,Fitzroy Street
116,Daysdale,Hanrahans Road
117,Daysdale,Harbingers Road
118,Daysdale,Jones Road
119,Daysdale,Kerrs Road
120,Daysdale,Kooringal Road
121,Daysdale,Koringal Road
122,Daysdale,Lock Gate Lane
123,Daysdale,Mardlings Road
124,Daysdale,Mills Road
125,Daysdale,Minns Road
126,Daysdale,Narrow Plains Road
127,Daysdale,Nixons Road
128,Daysdale,Northcotes Road
129,Daysdale,Oak Lodge Road
130,Daysdale,O'bryans Road
131,Daysdale,Reserve Road
132,Daysdale,Richmond Street
133,Daysdale,Robinson Street
134,Daysdale,Saffron Road
135,Daysdale,School Lane
136,Daysdale,Triangle Park Road
137,Daysdale,West Street
138,Daysdale,Young Street
139,Dubbo,Abelia Court
140,Dubbo,Akela Place
141,Dubbo,Alam Street
142,Dubbo,Alcheringa Street
143,Dubbo,Alder Place
144,Dubbo,Aldrin Avenue
145,Dubbo,Alfred Street
146,Dubbo,Algona Street
147,Dubbo,Alkira Street
148,Dubbo,Allandale Drive
149,Dubbo,Allara Court
150,Dubbo,Allison Street
151,Dubbo,Amy Lane
152,Dubbo,Andrew Place
153,Dubbo,Anne Street
154,Dubbo,Araluen Way
155,Dubbo,Arbory Close
156,Dubbo,Armstrong Crescent
157,Dubbo,Arthur Street
158,Dubbo,Arthur Summons Street
159,Dubbo,Aruma Street
160,Dubbo,Ashlundie Crescent
161,Dubbo,Askernish Drive
162,Dubbo,Aspen Road
163,Dubbo,Asset Way
164,Dubbo,Augusta Avenue
165,Dubbo,Avalon Place
166,Dubbo,Azure Avenue
167,Dubbo,Bailey Street
168,Dubbo,Baird Drive
169,Dubbo,Baird Street
170,Dubbo,Ballindoch Place
171,Dubbo,Balmoral Place
172,Dubbo,Bank Street
173,Dubbo,Banksia Crescent
174,Dubbo,Barden Avenue
175,Dubbo,Barlow Court
176,Dubbo,Barracks Close
177,Dubbo,Barwon Way
178,Dubbo,Bass Place
179,Dubbo,Beatrice Place
180,Dubbo,Beddoes Avenue
181,Dubbo,Bedford Avenue
182,Dubbo,Belah Street
183,Dubbo,Bell Avenue
184,Dubbo,Bellbird Way
185,Dubbo,Belmore Street
186,Dubbo,Belmore Place
187,Dubbo,Belowrie Road
188,Dubbo,Bembrose Lane
189,Dubbo,Beni Street
190,Dubbo,Bennett Street
191,Dubbo,Bent Street
192,Dubbo,Bernborough Place
193,Dubbo,Beveridge Crescent
194,Dubbo,Bioka Court
195,Dubbo,Birch Avenue
196,Dubbo,Birkdale Close
197,Dubbo,Bishop Street
198,Dubbo,Blackbutt Road
199,Dubbo,Blaxland Street
200,Dubbo,Bligh Street
201,Dubbo,Blizzardfield Road
202,Dubbo,Blueridge Drive
203,Dubbo,Bonner Crescent
204,Dubbo,Booth Street
205,Dubbo,Boothenba Road
206,Dubbo,Boree Drive
207,Dubbo,Boronia Place
208,Dubbo,Boulderwood Place
209,Dubbo,Boundary Road
210,Dubbo,Bourke Street
211,Dubbo,Bramlea Street
212,Dubbo,Braun Avenue
213,Dubbo,Brennan Road
214,Dubbo,Brian Hambly Place
215,Dubbo,Brigalow Avenue
216,Dubbo,Brisbane Street
217,Dubbo,Browns Lane
218,Dubbo,Bruce Avenue
219,Dubbo,Buckingham Drive
220,Dubbo,Bultje Street
221,Dubbo,Bunglegumbie Road
222,Dubbo,Buninyong Road
223,Dubbo,Burge Place
224,Dubbo,Burkitt Court
225,Dubbo,Bushland Drive
226,Dubbo,Cadell Street
227,Dubbo,Camp Road
228,Dubbo,Campese Court
229,Dubbo,Canterbury Court
230,Dubbo,Capital Drive
231,Dubbo,Carboni Court
232,Dubbo,Cardiff Arms Avenue
233,Dubbo,Carling Court
234,Dubbo,Carnegie Avenue
235,Dubbo,Carnoustie Drive
236,Dubbo,Caroline Street
237,Dubbo,Carrington Avenue
238,Dubbo,Carrington Square
239,Dubbo,Carroll Crescent
240,Dubbo,Cascade Court
241,Dubbo,Cassia Street
242,Dubbo,Castlereagh Avenue
243,Dubbo,Catchpole Close
244,Dubbo,Catherine Drive
245,Dubbo,Cavelle Place
246,Dubbo,Cedar Court
247,Dubbo,Centre Lane
248,Dubbo,Chanara Crescent
249,Dubbo,Chapmans Road
250,Dubbo,Charles Crescent
251,Dubbo,Charlotte Street
252,Dubbo,Charmere Place
253,Dubbo,Chelmsford Street
254,Dubbo,Chifley Drive
255,Dubbo,Chondelle Court
256,Dubbo,Christie Close
257,Dubbo,Church Street
258,Dubbo,Clarence Way
259,Dubbo,Clearwater Place
260,Dubbo,Clews Street
261,Dubbo,Cloonawillin Close
262,Dubbo,Cobbity Avenue
263,Dubbo,Cobbora Road
264,Dubbo,Cobra Street
265,Dubbo,Collins Avenue
266,Dubbo,Colony Crescent
267,Dubbo,Columbia Drive
268,Dubbo,Commercial Avenue
269,Dubbo,Condon Place
270,Dubbo,Cooinda Crescent
271,Dubbo,Coolabar Street
272,Dubbo,Cooreena Road
273,Dubbo,Coral Crescent
274,Dubbo,Corbett Avenue
275,Dubbo,Corella Court
276,Dubbo,Cormorant Crescent
277,Dubbo,Cornwall Court
278,Dubbo,Coronation Drive
279,Dubbo,Crick Street
280,Dubbo,Cronin Place
281,Dubbo,Crossroads Drive
282,Dubbo,Crown Street
283,Dubbo,Crum Avenue
284,Dubbo,Cudgegong Place
285,Dubbo,Culgoa Court
286,Dubbo,Cunningham Street
287,Dubbo,Currawong Road
288,Dubbo,Curtin Place
289,Dubbo,Cypress Avenue
290,Dubbo,Cypress Point Drive
291,Dubbo,Cyril Towers Street
292,Dubbo,Daffodil Court
293,Dubbo,Dalbeattie Crescent
294,Dubbo,Dalton Street
295,Dubbo,Daniel Soane Drive
296,Dubbo,Darby Close
297,Dubbo,Darling Street
298,Dubbo,Davidson Drive
299,Dubbo,Davies Street
300,Dubbo,Dawson Street
301,Dubbo,Denison Street
302,Dubbo,Depot Road
303,Dubbo,Diamond Street
304,Dubbo,Diane Street
305,Dubbo,Doncaster Avenue
306,Dubbo,Douglas Mawson Drive
307,Dubbo,Dowton Drive
308,Dubbo,Duke Place
309,Dubbo,Dulhunty Avenue
310,Dubbo,Dunedoo Road
311,Dubbo,Dunheved Circle
312,Dubbo,Durum Circuit
313,Dubbo,Eagle Avenue
314,Dubbo,East Street
315,Dubbo,Eden Park Avenue
316,Dubbo,Edinburgh Avenue
317,Dubbo,Edwin Street
318,Dubbo,Elcama Street
319,Dubbo,Elizabeth Street
320,Dubbo,Elizabeth Lane
321,Dubbo,Ella Place
322,Dubbo,Ellis Park Close
323,Dubbo,Elm Street
324,Dubbo,Elsworth Street
325,Dubbo,Emerald Street
326,Dubbo,Energy Place
327,Dubbo,Englewood Avenue
328,Dubbo,Epsom Avenue
329,Dubbo,Erica Close
330,Dubbo,Erskine Street
331,Dubbo,Essex Court
332,Dubbo,Eumung Street
333,Dubbo,Evans Street
334,Dubbo,Eyre Street
335,Dubbo,Fairview Street
336,Dubbo,Falconer Way
337,Dubbo,Fardell Close
338,Dubbo,Fitzhill Parade
339,Dubbo,Fitzroy Street
340,Dubbo,Fletcher Crescent
341,Dubbo,Flinders Close
342,Dubbo,Forrest Crescent
343,Dubbo,Frith Street
344,Dubbo,Fuller Lane
345,Dubbo,Furlong Street
346,Dubbo,Furney Street
347,Dubbo,Galloway Drive
348,Dubbo,Garnet Street
349,Dubbo,Gas Lane
350,Dubbo,Gasnier Place
351,Dubbo,George Street
352,Dubbo,Gerber Place
353,Dubbo,Gilbert Street
354,Dubbo,Giles Court
355,Dubbo,Gillis Street
356,Dubbo,Gipps Lane
357,Dubbo,Gipps Street
358,Dubbo,Glenabbey Drive
359,Dubbo,Glen Eagles Way
360,Dubbo,Glenshee Close
361,Dubbo,Gloucester Avenue
362,Dubbo,Goode Street
363,Dubbo,Gosse Avenue
364,Dubbo,Gowrie Avenue
365,Dubbo,Grangewood Drive
366,Dubbo,Greenslopes Court
367,Dubbo,Greenway Place
368,Dubbo,Gregory Court
369,Dubbo,Grevillea Close
370,Dubbo,Grey Street
371,Dubbo,Gumtree Avenue
372,Dubbo,Gundarra Street
373,Dubbo,Gungurru Close
374,Dubbo,Gwydir Court
375,Dubbo,Hakea Place
376,Dubbo,Halley Place
377,Dubbo,Hamilton Close
378,Dubbo,Hammond Street
379,Dubbo,Hampden Street
380,Dubbo,Handara Close
381,Dubbo,Hann Court
382,Dubbo,Harrison Place
383,Dubbo,Hastings Court
384,Dubbo,Hawkesbury Place
385,Dubbo,Hawthorn Street
386,Dubbo,Hay Street
387,Dubbo,Hazelwood Drive
388,Dubbo,Healy Street
389,Dubbo,Heather Street
390,Dubbo,Hellyer Court
391,Dubbo,Hennessy Drive
392,Dubbo,Hewitt Place
393,Dubbo,High Street
394,Dubbo,Highland Place
395,Dubbo,Highview Place
396,Dubbo,Hillcrest Place
397,Dubbo,Hillside Drive
398,Dubbo,Hilton Place
399,Dubbo,Holls Avenue
400,Dubbo,Holmwood Drive
401,Dubbo,Homestead Drive
402,Dubbo,Hopetoun Street
403,Dubbo,Hopkins Parade
404,Dubbo,Horizon Place
405,Dubbo,Houston Drive
406,Dubbo,Howard Avenue
407,Dubbo,Huckel Street
408,Dubbo,Hume Street
409,Dubbo,Hunter Street
410,Dubbo,Huntingdale Close
411,Dubbo,Hutchins Avenue
412,Dubbo,Illoura Street
413,Dubbo,Ingrid Place
414,Dubbo,Ironbark Close
415,Dubbo,Jackson Place
416,Dubbo,Jack William Drive
417,Dubbo,Jacqueline Drive
418,Dubbo,James Street
419,Dubbo,Jane Court
420,Dubbo,Jannali Road
421,Dubbo,Javea Close
422,Dubbo,Jean Lane
423,Dubbo,Jenmark Place
424,Dubbo,John Brass Place
425,Dubbo,John Glenn Place
426,Dubbo,John Roach Close
427,Dubbo,Johns Avenue
428,Dubbo,Johnson Street
429,Dubbo,Joira Road
430,Dubbo,Jonquil Court
431,Dubbo,Jubilee Street
432,Dubbo,Justice Place
433,Dubbo,Keane Avenue
434,Dubbo,Ken Mcmullen Place
435,Dubbo,Kennedy Street
436,Dubbo,Kensington Avenue
437,Dubbo,Kent Place
438,Dubbo,Kentucky Court
439,Dubbo,Kestrel Close
440,Dubbo,Keswick Parkway
441,Dubbo,King Street
442,Dubbo,Kingfisher Street
443,Dubbo,Kings Park Way
444,Dubbo,Kokoda Place
445,Dubbo,Kookaburra Close
446,Dubbo,Kurrajong Court
447,Dubbo,Lachlan Way
448,Dubbo,Lago Court
449,Dubbo,Lakeland Drive
450,Dubbo,Lakeside Circuit
451,Dubbo,Lancaster Park Place
452,Dubbo,Langford Drive
453,Dubbo,Lansdowne Drive
454,Dubbo,Laughton Street
455,Dubbo,Lawson Street
456,Dubbo,Leavers Street
457,Dubbo,Leichhardt Street
458,Dubbo,Leonard Street
459,Dubbo,Leslie Place
460,Dubbo,Light Place
461,Dubbo,Lincoln Parkway
