,suburb,address name
0,Jilliby,Amberwood Close
1,Jilliby,Andersons Point Road
2,Jilliby,Bailey Road
3,Jilliby,Beaven Lane
4,Jilliby,Ben Bridges Point Road
5,Jilliby,Big Pole Point Road
6,Jilliby,Bloomfield Road
7,Jilliby,Boyds Point Fire Road
8,Jilliby,Brolga Way
9,Jilliby,Brookfield Close
10,Jilliby,Brothers Road
11,Jilliby,Burlington Avenue
12,Jilliby,Buttonderry Way
13,Jilliby,Calmans Point Road
14,Jilliby,Carlyle Close
15,Jilliby,Cootes Point Road
16,Jilliby,Cottesloe Road
17,Jilliby,Crestwood Road
18,Jilliby,Dam Point Road
19,Jilliby,Daniels Point Road
20,Jilliby,Davenport Lane
21,Jilliby,Dicksons Road
22,Jilliby,Duffys Point Road
23,Jilliby,Dunks Lane
24,Jilliby,Durren Road
25,Jilliby,Eagle Place
26,Jilliby,Francis Byrnes Road
27,Jilliby,Georges Point Road
28,Jilliby,Goldsmiths Point Road
29,Jilliby,Grasslands Close
30,Jilliby,Grey Gum Road
31,Jilliby,Harris Point Road
32,Jilliby,Hitchcocks Point Road
33,Jilliby,Holloway Drive
34,Jilliby,Hue Hue Road
35,Jilliby,Inspiration Point Road
36,Jilliby,Jascaren Close
37,Jilliby,Jerrys Point Road
38,Jilliby,Jilliby Road
39,Jilliby,Kiar Ridge Road
40,Jilliby,Lardies Point Road
41,Jilliby,Little Jilliby Road
42,Jilliby,Maculata Road
43,Jilliby,Mahogany Point Road
44,Jilliby,Marion Place
45,Jilliby,Motorway Link
46,Jilliby,Muggins Point Road
47,Jilliby,Parkridge Drive
48,Jilliby,Peacock Avenue
49,Jilliby,Pedaman Place
50,Jilliby,Pitts Point Road
51,Jilliby,Pole Point Road
52,Jilliby,Sandra Street
53,Jilliby,Siding Road
54,Jilliby,Smiths Road
55,Jilliby,Smithys Road
56,Jilliby,Song Bird Lane
57,Jilliby,Sparks Road
58,Jilliby,Spotted Gum Point Road
59,Jilliby,Stinsons Lane
60,Jilliby,Stinsons Point Road
61,Jilliby,St Johns Road
62,Jilliby,Sydney Newcastle Freeway
63,Jilliby,The Downs 
64,Jilliby,The Knoll 
65,Jilliby,Tracey Lea Close
66,Jilliby,Treelands Drive
67,Jilliby,Watagan Forest Road
68,Jilliby,Watagan Forest Drive
69,Jilliby,Waters Road
70,Jilliby,Whitemans Lane
71,Jilliby,Whitemans Ridge Road
72,Jilliby,Woodards Point Road
73,Jilliby,Woodburys Point Road
74,Jilliby,Woods Road
75,Jilliby,Woodville Road
76,Junction Hill,Acacia Street
77,Junction Hill,Angus Drive
78,Junction Hill,Aquarius Drive
79,Junction Hill,Aries Road
80,Junction Hill,Back Lane
81,Junction Hill,Barnier Avenue
82,Junction Hill,Capricorn Crescent
83,Junction Hill,Carrs Peninsula Road
84,Junction Hill,Casino Road
85,Junction Hill,Coval Drive
86,Junction Hill,Cronin Avenue
87,Junction Hill,Earl Street
88,Junction Hill,Edgecombe Avenue
89,Junction Hill,Figtree Avenue
90,Junction Hill,Gemini Street
91,Junction Hill,Greenfields Drive
92,Junction Hill,Hillside Drive
93,Junction Hill,Labrador Close
94,Junction Hill,Lake Edgecombe Close
95,Junction Hill,Leaf Street
96,Junction Hill,Malah Road
97,Junction Hill,Martin Crescent
98,Junction Hill,Mossberry Avenue
99,Junction Hill,Nairn Terrace
100,Junction Hill,Ogilvie Street
101,Junction Hill,Pine Street
102,Junction Hill,Shadybower Drive
103,Junction Hill,Simpson Court
104,Junction Hill,Sunset Drive
105,Junction Hill,Taurus Avenue
106,Junction Hill,The Summerland Way 
107,Junction Hill,Tolga Place
108,Junction Hill,Trenayr Road
109,Junction Hill,Trenayr Close
110,Jerrys Plains,Bureen Street
111,Jerrys Plains,Commission Road
112,Jerrys Plains,Doyle Street
113,Jerrys Plains,Edderton Road
114,Jerrys Plains,Golden Highway
115,Jerrys Plains,Jones Reserve Road
116,Jerrys Plains,Lemington Road
117,Jerrys Plains,Lonsdale Street
118,Jerrys Plains,Pagan Street
119,Jerrys Plains,Parnell Street
120,Jerrys Plains,Pearse Street
121,Jerrys Plains,Perimeter Trail
122,Jerrys Plains,Pinegrove Road
123,Jerrys Plains,Piribil Street
124,Jerrys Plains,Poppong Street
125,Jerrys Plains,Pringle Street
126,Jerrys Plains,Queen Street
127,Jerrys Plains,Redmanvale Road
128,Jerrys Plains,Wambo Street
129,Jerrys Plains,Woodlands Road
130,Jindabyne,Alpine Way
131,Jindabyne,Baggs Street
132,Jindabyne,Banjo Paterson Crescent
133,Jindabyne,Barry Way
134,Jindabyne,Bay Street
135,Jindabyne,Beloka Close
136,Jindabyne,Bent Street
137,Jindabyne,Bogong Street
138,Jindabyne,Bungarra Lane
139,Jindabyne,Caldwell Close
140,Jindabyne,Candlebark Circuit
141,Jindabyne,Carinya Lane
142,Jindabyne,Carruthers Road
143,Jindabyne,Charlottes Lane
144,Jindabyne,Chongs Road
145,Jindabyne,Clyde Street
146,Jindabyne,Cobbodah Street
147,Jindabyne,Cobbon Crescent
148,Jindabyne,Crawford Street
149,Jindabyne,Forest View Road
150,Jindabyne,Frost Creek Lane
151,Jindabyne,Gaden Road
152,Jindabyne,Gippsland Street
153,Jindabyne,Hatchery Bay Road
154,Jindabyne,Hawthorne Close
155,Jindabyne,High Country Drive
156,Jindabyne,Ingebyra Street
157,Jindabyne,Jillamatong Street
158,Jindabyne,Kalkite Street
159,Jindabyne,Kirwan Close
160,Jindabyne,Kosciuszko Road
161,Jindabyne,Kurrajong Street
162,Jindabyne,Lakewood Drive
163,Jindabyne,Lee Avenue
164,Jindabyne,Mcguffickes Road
165,Jindabyne,Mclure Circuit
166,Jindabyne,Mitchell Circuit
167,Jindabyne,Munyang Street
168,Jindabyne,Nettin Circuit
169,Jindabyne,Park Road
170,Jindabyne,Penders Court
171,Jindabyne,Percy Harris Street
172,Jindabyne,Pilot Close
173,Jindabyne,Pine Grove
174,Jindabyne,Poley Cow Lane
175,Jindabyne,Power Place
176,Jindabyne,Reedys Cutting Road
177,Jindabyne,Ridge Avenue
178,Jindabyne,Riverview Court
179,Jindabyne,Ryrie Lane
180,Jindabyne,Sentinel Place
181,Jindabyne,Snowgrass Drive
182,Jindabyne,Snowgum Court
183,Jindabyne,Snowgum Lane
184,Jindabyne,Snowy River Avenue
185,Jindabyne,Strzelecki Place
186,Jindabyne,Sturgeon Street
187,Jindabyne,Ted Winter Close
188,Jindabyne,The Nook 
189,Jindabyne,The Snowy River Way 
190,Jindabyne,Thredbo Terrace
191,Jindabyne,Tinworth Drive
192,Jindabyne,Townsend Street
193,Jindabyne,Twynam Street
194,Jindabyne,Willis Court
195,Jindabyne,Willow Bend
196,Jindabyne,W J Drive
197,Jellat Jellat,Darcy Lane
198,Jellat Jellat,Tathra Road
199,Jellat Jellat,Thornhill Road
200,Jellat Jellat,Wallagoot Lane
201,Jews Lagoon,Dalores Lane
202,Jews Lagoon,Glenroy Road
203,Jews Lagoon,Millie Road
204,Jews Lagoon,Milton Downs Road
205,Jews Lagoon,Spring Plains Road
206,Jews Lagoon,Thalaba Lane
207,Jews Lagoon,Waiwera Lane
208,Jewells,Ainsdale Close
209,Jewells,Alston Parade
210,Jewells,Ballantrae Street
211,Jewells,Callemonda Close
212,Jewells,Campton Close
213,Jewells,Cardine Close
214,Jewells,Cotemede Close
215,Jewells,Cowlishaw Street
216,Jewells,Curdie Street
217,Jewells,Dale Close
218,Jewells,Dalrymple Street
219,Jewells,Doongara Close
220,Jewells,Dymock Close
221,Jewells,Ellerton Parade
222,Jewells,Esperance Street
223,Jewells,Fairburn Close
224,Jewells,Fencott Drive
225,Jewells,Ferrisdale Parade
226,Jewells,Finsbury Close
227,Jewells,Garford Close
228,Jewells,Gilsmere Street
229,Jewells,Gradburn Parade
230,Jewells,Gretton Close
231,Jewells,Groves Road
232,Jewells,Halewood Close
233,Jewells,Holborn Close
234,Jewells,Jewells Parade
235,Jewells,Jody Close
236,Jewells,Lachlan Street
237,Jewells,Lepton Parade
238,Jewells,Mathew Avenue
239,Jewells,Melanie Close
240,Jewells,Murray Street
241,Jewells,Murray Square
242,Jewells,Murrumbidgee Road
243,Jewells,Ntaba Road
244,Jewells,Oakdale Road
245,Jewells,Pacific Highway
246,Jewells,Pam Close
247,Jewells,Paston Close
248,Jewells,Sharon Avenue
249,Jewells,Silverdale Parade
250,Jewells,Wommara Avenue
251,Jewells,Yvonne Close
252,Jugiong,Alonzo Street
253,Jugiong,Audley Road
254,Jugiong,Back Jugiong Road
255,Jugiong,Belmont Road
256,Jugiong,Bundarbo Road
257,Jugiong,Dowling Street
258,Jugiong,Flyde Street
259,Jugiong,Hill Street
260,Jugiong,Hilltop Road
261,Jugiong,Hume Highway
262,Jugiong,Illawong Road
263,Jugiong,Jugiong Road
264,Jugiong,Kiaora Road
265,Jugiong,Kitticarrara Road
266,Jugiong,Larmer Street
267,Jugiong,Mcmahons Reef Road
268,Jugiong,Parkes Street
269,Jugiong,Prings Street
270,Jugiong,Prudence Street
271,Jugiong,Renwick Street
272,Jugiong,Riverside Drive
273,Jugiong,Rosehill Road
274,Jugiong,Sheahan Street
275,Jugiong,Short Street
276,Jugiong,Stapylton Street
277,Jugiong,Taafe Street
278,Jugiong,Waterworks Road
279,Jugiong,Widgeongully Road
280,Jerilderie,Algudgerie Road
281,Jerilderie,Anthony Lane
282,Jerilderie,Argoon Avenue
283,Jerilderie,Ashton Street
284,Jerilderie,Berrigan Road
285,Jerilderie,Betts Street
286,Jerilderie,Bolton Street
287,Jerilderie,Booroobanilly Road
288,Jerilderie,Broome Lane
289,Jerilderie,Brown Street
290,Jerilderie,Bundoora Avenue
291,Jerilderie,Bundure Road
292,Jerilderie,Bunyola Boulevard
293,Jerilderie,Cadell Road
294,Jerilderie,Cape Road
295,Jerilderie,Cocketgedong Road
296,Jerilderie,Colliers Lane
297,Jerilderie,Colombo Road
298,Jerilderie,Conargo Road
299,Jerilderie,Coonong Street
300,Jerilderie,Coreen Street
301,Jerilderie,Crockett Road
302,Jerilderie,Daenke Lane
303,Jerilderie,Elliott Road
304,Jerilderie,Goolgumbla Esplanade
305,Jerilderie,Hams Road
