,suburb,address name
0,Muswellbrook,Aberdeen Street
1,Muswellbrook,Acacia Drive
2,Muswellbrook,Adams Street
3,Muswellbrook,Allyn Way
4,Muswellbrook,Almeria Glen
5,Muswellbrook,Angus Peebles Close
6,Muswellbrook,Antiene Railway Station Road
7,Muswellbrook,Anzac Parade
8,Muswellbrook,Arlingham Close
9,Muswellbrook,Armitage Avenue
10,Muswellbrook,Balmoral Road
11,Muswellbrook,Barrett Street
12,Muswellbrook,Barrington Street
13,Muswellbrook,Beech Street
14,Muswellbrook,Bell Street
15,Muswellbrook,Belmore Street
16,Muswellbrook,Bengalla Road
17,Muswellbrook,Bimbadeen Drive
18,Muswellbrook,Birralee Street
19,Muswellbrook,Black Street
20,Muswellbrook,Blakefield Road
21,Muswellbrook,Bligh Lane
22,Muswellbrook,Bligh Street
23,Muswellbrook,Bloodwood Road
24,Muswellbrook,Boronia Drive
25,Muswellbrook,Bowfield Place
26,Muswellbrook,Bowman Street
27,Muswellbrook,Brecht Street
28,Muswellbrook,Brentwood Street
29,Muswellbrook,Bridge Street
30,Muswellbrook,Bronte Crescent
31,Muswellbrook,Brook Street
32,Muswellbrook,Buddens Lane
33,Muswellbrook,Burgundy Street
34,Muswellbrook,Burtons Lane
35,Muswellbrook,Cabernet Street
36,Muswellbrook,Calgaroo Avenue
37,Muswellbrook,Campbell Street
38,Muswellbrook,Campion Lane
39,Muswellbrook,Carl Lane
40,Muswellbrook,Carl Street
41,Muswellbrook,Carramere Road
42,Muswellbrook,Cassidy Avenue
43,Muswellbrook,Casuarina Close
44,Muswellbrook,Cedar Close
45,Muswellbrook,Chablis Close
46,Muswellbrook,Chardonnay Street
47,Muswellbrook,Chenin Close
48,Muswellbrook,Chivers Circuit
49,Muswellbrook,Clarence Place
50,Muswellbrook,Claret Avenue
51,Muswellbrook,Clendinning Street
52,Muswellbrook,Clifford Street
53,Muswellbrook,Coal Road
54,Muswellbrook,Collins Lane
55,Muswellbrook,Common Road
56,Muswellbrook,Cook Street
57,Muswellbrook,Coolibah Close
58,Muswellbrook,Coral Street
59,Muswellbrook,Cousins Street
60,Muswellbrook,Crete Street
61,Muswellbrook,Cunningham Street
62,Muswellbrook,Cypress Place
63,Muswellbrook,Dalwood Place
64,Muswellbrook,Dangar Place
65,Muswellbrook,Day Street
66,Muswellbrook,Denman Road
67,Muswellbrook,Dianella Drive
68,Muswellbrook,Dixon Circuit
69,Muswellbrook,Dolahenty Street
70,Muswellbrook,Donaldson Street
71,Muswellbrook,Dorans Lane
72,Muswellbrook,Doyle Street
73,Muswellbrook,Doyle Lane
74,Muswellbrook,Dumaresq Street
75,Muswellbrook,Edderton Road
76,Muswellbrook,Edinglassie Drive
77,Muswellbrook,Eucalypt Avenue
78,Muswellbrook,Eurabbie Avenue
79,Muswellbrook,Finnegan Crescent
80,Muswellbrook,Fitzgerald Avenue
81,Muswellbrook,Flanders Avenue
82,Muswellbrook,Fleming Street
83,Muswellbrook,Foley Lane
84,Muswellbrook,Foley Street
85,Muswellbrook,Forbes Street
86,Muswellbrook,Ford Street
87,Muswellbrook,Francis Street
88,Muswellbrook,Gamay Close
89,Muswellbrook,George Street
90,Muswellbrook,Glenbawn Place
91,Muswellbrook,Glen Munro Road
