,suburb,address name
0,Russell Lea,Alice Avenue
1,Russell Lea,Alison Street
2,Russell Lea,Atkins Lane
3,Russell Lea,Atkins Avenue
4,Russell Lea,Barnstaple Road
5,Russell Lea,Bay Road
6,Russell Lea,Bennett Avenue
7,Russell Lea,Betts Avenue
8,Russell Lea,Bibby Street
9,Russell Lea,Boronia Avenue
10,Russell Lea,Bouvardia Street
11,Russell Lea,Brennans Lane
12,Russell Lea,Brent Street
13,Russell Lea,Burnell Street
14,Russell Lea,Byrne Avenue
15,Russell Lea,Clare Crescent
16,Russell Lea,Clements Street
17,Russell Lea,Dalmeny Avenue
18,Russell Lea,Edenholme Road
19,Russell Lea,Halley Street
20,Russell Lea,Hampden Road
21,Russell Lea,Henley Marine Drive
22,Russell Lea,Ingham Avenue
23,Russell Lea,Janet Street
24,Russell Lea,Kirrang Street
25,Russell Lea,Lamrock Avenue
26,Russell Lea,Lea Avenue
27,Russell Lea,Lenore Street
28,Russell Lea,Liege Street
29,Russell Lea,Lithgow Street
30,Russell Lea,Lucas Avenue
31,Russell Lea,Lyons Road
32,Russell Lea,Margaret Street
33,Russell Lea,Mcculloch Street
34,Russell Lea,Mons Street
35,Russell Lea,Mooculta Street
36,Russell Lea,Murray Street
37,Russell Lea,Myalora Street
38,Russell Lea,North Court Road
39,Russell Lea,Parkview Road
40,Russell Lea,Pine Avenue
41,Russell Lea,Potter Street
42,Russell Lea,Reims Street
43,Russell Lea,Robert Avenue
44,Russell Lea,Rowley Road
45,Russell Lea,Russell Street
46,Russell Lea,Seabrook Avenue
47,Russell Lea,Sibbick Street
48,Russell Lea,Speed Avenue
49,Russell Lea,Tait Street
50,Russell Lea,Tait Lane
51,Russell Lea,The Crescent 
52,Russell Lea,The Parade 
53,Russell Lea,Undine Street
54,Russell Lea,Warwillah Road
55,Russell Lea,Whittall Street
56,Rutherford,Aaron Cove
57,Rutherford,Aberglasslyn Road
58,Rutherford,Adam Avenue
59,Rutherford,Adelong Close
60,Rutherford,Alexandra Avenue
61,Rutherford,Alvira Close
62,Rutherford,Anambah Road
63,Rutherford,Arthur Street
64,Rutherford,Ashland Close
65,Rutherford,Avery Street
66,Rutherford,Bairds Close
67,Rutherford,Barnett Street
68,Rutherford,Belair Close
69,Rutherford,Belmar Street
70,Rutherford,Benjamin Circle
71,Rutherford,Bergman Way
72,Rutherford,Bingara Street
73,Rutherford,Bowlers Lane
74,Rutherford,Bradmill Avenue
75,Rutherford,Brigantine Street
76,Rutherford,Brittany Avenue
77,Rutherford,Brooks Street
78,Rutherford,Broughton Street
79,Rutherford,Buffier Crescent
80,Rutherford,Bunning Avenue
81,Rutherford,Burlington Close
82,Rutherford,Burlington Place
83,Rutherford,Cagney Road
84,Rutherford,Capper Street
85,Rutherford,Carr Street
86,Rutherford,Carroll Avenue
87,Rutherford,Cavalry Avenue
88,Rutherford,Christine Close
89,Rutherford,Churchill Crescent
90,Rutherford,Clayton Crescent
91,Rutherford,Clyde Street
92,Rutherford,Compton Street
93,Rutherford,Corvette Close
94,Rutherford,Crisp Avenue
95,Rutherford,Crothers Street
96,Rutherford,Crown Close
97,Rutherford,Daniel Avenue
98,Rutherford,Darby Lane
99,Rutherford,Dee Street
100,Rutherford,Denton Park Drive
101,Rutherford,Diamond Circuit
102,Rutherford,Dietrich Close
103,Rutherford,Dominic Cove
104,Rutherford,Dorn Lane
105,Rutherford,Dumont Close
106,Rutherford,Dunkley Street
107,Rutherford,East Mall
108,Rutherford,Easton Close
109,Rutherford,Endeavour Street
110,Rutherford,Enright Street
111,Rutherford,Fahey Street
112,Rutherford,Fairfax Street
113,Rutherford,Fairview Street
114,Rutherford,Farrier Place
115,Rutherford,Fernleigh Avenue
116,Rutherford,Finney Close
117,Rutherford,First Avenue
118,Rutherford,Fonda Avenue
119,Rutherford,Ford Close
120,Rutherford,Fourth Avenue
121,Rutherford,Fullford Cove
122,Rutherford,Gardiner Street
123,Rutherford,Garwood Street
124,Rutherford,Gillette Close
125,Rutherford,Gillies Street
126,Rutherford,Goodlet Street
127,Rutherford,Green Street
128,Rutherford,Greenwood Grove
129,Rutherford,Hague Street
130,Rutherford,Hartigan Close
131,Rutherford,Harvey Road
132,Rutherford,Hawkins Street
133,Rutherford,Hillview Street
134,Rutherford,Hinkler Avenue
135,Rutherford,Holliday Close
136,Rutherford,Hollywood Close
137,Rutherford,Howarth Street
138,Rutherford,Jason Place
139,Rutherford,Joan Street
140,Rutherford,John Street
141,Rutherford,John Verge Avenue
142,Rutherford,Jonathan Street
143,Rutherford,Jonathon Street
144,Rutherford,Joseph Close
145,Rutherford,Joshua Close
146,Rutherford,Justine Parade
147,Rutherford,Kearny Close
148,Rutherford,Kelly Circle
149,Rutherford,Kennedy Street
150,Rutherford,Kenvil Close
151,Rutherford,Kerr Street
152,Rutherford,Klara Court
153,Rutherford,Krohn Street
154,Rutherford,Kyle Street
155,Rutherford,Lauren Close
156,Rutherford,Liddell Avenue
157,Rutherford,Lisa Place
158,Rutherford,Logan Road
159,Rutherford,Mackay Close
160,Rutherford,Maiden Street
161,Rutherford,Mannall Close
162,Rutherford,Marlborough Street
163,Rutherford,Marlowe Avenue
164,Rutherford,Melbee Street
165,Rutherford,Menzies Way
166,Rutherford,Mileham Circuit
167,Rutherford,Montgomery Avenue
168,Rutherford,Mountbatten Close
169,Rutherford,Mountvale Street
170,Rutherford,Mustang Drive
171,Rutherford,Nelson Close
172,Rutherford,Neptune Close
173,Rutherford,Neville Street
174,Rutherford,Nevin Parade
175,Rutherford,New England Highway
176,Rutherford,Newfield Street
177,Rutherford,Nicolena Crescent
178,Rutherford,Niven Parade
179,Rutherford,North Mall
180,Rutherford,Opal Street
181,Rutherford,Paddock Place
182,Rutherford,Palisade Street
183,Rutherford,Parkes Street
184,Rutherford,Parlin Close
185,Rutherford,Passfield Lane
186,Rutherford,Pearson Street
187,Rutherford,Peter Street
188,Rutherford,Piper Close
189,Rutherford,Pumphouse Crescent
190,Rutherford,Queen Street
191,Rutherford,Quinton Close
192,Rutherford,Racecourse Road
193,Rutherford,Rebecca Close
194,Rutherford,Regiment Road
195,Rutherford,Rex Cove
196,Rutherford,Richard Road
197,Rutherford,Robert Close
198,Rutherford,Roseberry Close
199,Rutherford,Roselle Close
200,Rutherford,Rosemary Street
201,Rutherford,Ross Street
202,Rutherford,Ruby Road
203,Rutherford,Ryan Street
204,Rutherford,Sabre Close
205,Rutherford,Sapphire Drive
206,Rutherford,Scott Street
207,Rutherford,Second Avenue
208,Rutherford,Sellers Avenue
209,Rutherford,Shipley Drive
210,Rutherford,Shortland Drive
211,Rutherford,Sirius Street
212,Rutherford,South Street
213,Rutherford,Spitfire Place
214,Rutherford,Squadron Crescent
215,Rutherford,St Fagans Parade
216,Rutherford,Tabor Close
217,Rutherford,Tannant Avenue
218,Rutherford,Taree Avenue
219,Rutherford,Targo Close
220,Rutherford,Third Avenue
221,Rutherford,Thompson Street
222,Rutherford,Treasure Street
223,Rutherford,Turin Terrace
224,Rutherford,Unicomb Close
225,Rutherford,Ventura Close
226,Rutherford,Verge Street
227,Rutherford,Verona Close
228,Rutherford,Vikki Avenue
229,Rutherford,Vindin Street
230,Rutherford,Walsh Street
231,Rutherford,Walter Street
232,Rutherford,Waterworks Road
233,Rutherford,Weblands Street
234,Rutherford,West Mall
235,Rutherford,Wollombi Road
236,Rutherford,Wolstenholme Street
237,Rutherford,Woodberry Street
238,Rutherford,Young Street
239,Richmond,Andrew Street
240,Richmond,Andrew Town Place
241,Richmond,Bayly Court
242,Richmond,Bells Line Of Road 
243,Richmond,Bensons Lane
244,Richmond,Blacktown Road
245,Richmond,Bosworth Street
246,Richmond,Boughton Street
247,Richmond,Bourke Street
248,Richmond,Bowman Street
249,Richmond,Burgess Street
250,Richmond,Cameron Street
251,Richmond,Castle Road
252,Richmond,Castlereagh Road
253,Richmond,Ceremonial Drive
254,Richmond,Chapel Street
255,Richmond,Claremont Street
256,Richmond,Clarendon Street
257,Richmond,College Drive
258,Richmond,College Street
259,Richmond,Conrad Street
260,Richmond,Copeland Street
261,Richmond,Cupitts Lane
262,Richmond,Dight Street
263,Richmond,Drift Road
264,Richmond,East Market Street
265,Richmond,Evans Crescent
266,Richmond,Faithfull Street
267,Richmond,Francis Street
268,Richmond,Gavin Lane
269,Richmond,Gibson Street
270,Richmond,Grand Flaneur Avenue
271,Richmond,Grose Street
272,Richmond,Hawkesbury Valley Way
273,Richmond,Hereford Street
274,Richmond,Hobart Street
275,Richmond,Hughes Avenue
276,Richmond,Inalls Lane
277,Richmond,Ingolds Lane
278,Richmond,Ivory Place
279,Richmond,Jersey Street
280,Richmond,Jockbet Street
281,Richmond,John Tebbutt Place
282,Richmond,Joseph Street
283,Richmond,Kurrajong Road
284,Richmond,Langley Place
285,Richmond,Lennox Street
286,Richmond,Lindsay Place
287,Richmond,Londonderry Road
288,Richmond,Lukis Avenue
289,Richmond,Luxford Road
290,Richmond,March Street
291,Richmond,Moray Street
292,Richmond,Musson Lane
293,Richmond,Old Kurrajong Road
294,Richmond,Onus Lane
295,Richmond,Paget Street
296,Richmond,Percival Street
297,Richmond,Pitt Street
298,Richmond,Pottery Lane
299,Richmond,Richard Street
300,Richmond,Ridge Place
301,Richmond,Ridges Lane
302,Richmond,Science Road
303,Richmond,Segenhoe Place
304,Richmond,Shelton Lane
305,Richmond,Silverburn Avenue
306,Richmond,Smith Avenue
307,Richmond,Southee Road
308,Richmond,Starlight Place
309,Richmond,Strong Place
310,Richmond,Teviot Street
311,Richmond,The Driftway 
312,Richmond,Tim Whiffler Place
313,Richmond,Toxana Street
314,Richmond,Triangle Lane
315,Richmond,Victoria Place
