,suburb,address name
0,Trunkey Creek,Arthur Street
1,Trunkey Creek,Bathurst Street
2,Trunkey Creek,Carlyle Street
3,Trunkey Creek,Chard Street
4,Trunkey Creek,Church Street
5,Trunkey Creek,Colo Road
6,Trunkey Creek,Curragh Road
7,Trunkey Creek,Goulburn Road
8,Trunkey Creek,Grove Creek Road
9,Trunkey Creek,Grovedale Road
10,Trunkey Creek,Hobbys Yards Road
11,Trunkey Creek,Lloyd Street
12,Trunkey Creek,Lowe Street
13,Trunkey Creek,Triangle Flat Road
14,Trunkey Creek,Trunkey Road
15,Trunkey Creek,Trunkey Cemetery Road
16,Tuena,Abercrombie Road
17,Tuena,Bathurst Street
18,Tuena,Bell Street
19,Tuena,Cook Street
20,Tuena,Junction Point Road
21,Tuena,Montana Road
22,Tuena,Mount Costigan Road
23,Tuena,Peelwood Road
24,Tuena,Tuena Cemetery Road
25,Tuena,Whick Whack Road
26,Tingha,Agate Street
27,Tingha,Albion Flat Road
28,Tingha,Amethyst Street
29,Tingha,Campbell Street
30,Tingha,Copes Creek Road
31,Tingha,Coxs Road
32,Tingha,Darbys Road
33,Tingha,Dettmans Road
34,Tingha,Diamond Street
35,Tingha,Garnet Street
36,Tingha,Gem Street
37,Tingha,Grove Road
38,Tingha,Guyra Road
39,Tingha,Guyra Hill Road
40,Tingha,Hospital Flat Road
41,Tingha,Howell Road
42,Tingha,Jones Road
43,Tingha,Kempton Road
44,Tingha,Long Gully Road
45,Tingha,Museum Street
46,Tingha,New Valley Road
47,Tingha,Old Mill Road
48,Tingha,Onyx Street
49,Tingha,Opal Street
50,Tingha,Red Hill Road
51,Tingha,Roberts Road
52,Tingha,Ruby Street
53,Tingha,Sapphire Street
54,Tingha,Schumans Road
55,Tingha,Shorts Road
56,Tingha,Swimming Pool Road
57,Tingha,Thunderbolts Way
58,Tingha,Topaz Street
59,Tingha,Winterwood Road
60,Tingha,Zircon Street
61,Taylors Arm,Bakers Creek Road
62,Taylors Arm,Butts Creek Road
63,Taylors Arm,Cpt 349/1 Road
64,Taylors Arm,Goondari Road
65,Taylors Arm,North Bank Road
66,Taylors Arm,Saddlers Lane
67,Taylors Arm,Targamindi Road
68,Taylors Arm,Taylors Arm Road
69,Taylors Arm,Todman Road
70,Tuckombil,Bundara Park Drive
71,Tuckombil,Byrnes Lane
72,Tuckombil,Howards Road
73,Tuckombil,Nelson Chase
74,Tuckombil,Rifle Range Road
75,Tuckombil,Shaws Lane
76,Tuckombil,Teven Road
77,Tuckombil,Tuckombil Lane
78,Tuckombil,Tuckombil Road
79,Tinderry,Big Tinderry Road
80,Tinderry,Bluedell Swamp Firetrail
81,Tinderry,Bongobilla Road
82,Tinderry,Boundary Firetrail
83,Tinderry,Browns Firetrail
84,Tinderry,Burra Road
85,Tinderry,Calabash Road
86,Tinderry,Calabash Firetrail
87,Tinderry,East Keewong Firetrail
88,Tinderry,East Tinderry Firetrail
89,Tinderry,Egans Road
90,Tinderry,Horse Flats Firetrail
91,Tinderry,Leaches Road
92,Tinderry,Mcternan Road
93,Tinderry,Mount Allen Firetrail
94,Tinderry,Nayler Lane
95,Tinderry,Roberts Creek Firetrail
96,Tinderry,Round Flat Firetrail
97,Tinderry,South Urialla Firetrail
98,Tinderry,Sunnybrae Firetrail
99,Tinderry,Tinderry Road
100,Tinderry,Tussock Ridge Firetrail
101,Tinderry,Urila Road
102,Tinderry,West Keewong Firetrail
103,Tinderry,West Tinderry Firetrail
104,Tinderry,Williams Firetrail
105,Tinderry,Woolpack Firetrail
106,Tinderry,Woolpack Creek Firetrail
107,Tanja,Abrams Road
108,Tanja,Barrabooka Road
109,Tanja,Barrabooka North Road
110,Tanja,Doctor George Mountain Road
111,Tanja,Fields Road
112,Tanja,Haighs Road
113,Tanja,Hunters Road
114,Tanja,Middle Beach Road
115,Tanja,Middle Ridge Road
116,Tanja,Mount Peter Road
117,Tanja,Mumbulla Creek Road
118,Tanja,Penders Road
119,Tanja,Roberts Road
120,Tanja,Tathra-bermagui Road
121,Tanja,Worlands Road
122,Taylors Beach,Albert Street
123,Taylors Beach,Cromartys Bay Trail
124,Taylors Beach,Innovation Close
125,Taylors Beach,Kara Crescent
126,Taylors Beach,Port Stephens Drive
127,Taylors Beach,Research Drive
128,Taylors Beach,Shearwater Drive
129,Taylors Beach,Sky Close
130,Taylors Beach,Taylor Road
131,Taylors Beach,Taylors Beach Road
132,Taylors Beach,Trades Court
133,Tamworth,Armidale Road
134,Tamworth,Bourke Street
135,Tamworth,Bridge Street
136,Tamworth,Brisbane Street
137,Tamworth,Byrnes Avenue
138,Tamworth,Cockburn Street
139,Tamworth,Darling Street
140,Tamworth,Dowe Street
141,Tamworth,Durbin Lane
142,Tamworth,Dwyer Lane
143,Tamworth,East Street
144,Tamworth,Fitzroy Street
145,Tamworth,Flyde Lane
146,Tamworth,Hill Street
147,Tamworth,Kable Avenue
148,Tamworth,King George V Avenue
149,Tamworth,Macquarie Street
150,Tamworth,Marius Street
151,Tamworth,Murray Street
152,Tamworth,Peel Street
153,Tamworth,Roderick Street
154,Tamworth,Scott Road
155,Tamworth,Smith Place
156,Tamworth,Solander Drive
157,Tamworth,Treloar Lane
158,Tamworth,White Street
159,Tocumwal,Acacia Avenue
160,Tocumwal,Adams Street
161,Tocumwal,Anthony Avenue
162,Tocumwal,Anzac Avenue
163,Tocumwal,Athol White Court
164,Tocumwal,Babingtons Road
165,Tocumwal,Babs Court
166,Tocumwal,Baldwin Court
167,Tocumwal,Barker Street
168,Tocumwal,Barooga Road
169,Tocumwal,Barooga Street
170,Tocumwal,Barooga-tocumwal Road
171,Tocumwal,Beasley Court
