,suburb,address name
0,Uralla,Barleyfields Road
1,Uralla,Big Ridge Road
2,Uralla,Bligh Avenue
3,Uralla,Bridge Street
4,Uralla,Church Avenue
5,Uralla,Cluan Avenue
6,Uralla,Cooper Lane
7,Uralla,Cooper Street
8,Uralla,Dangar Street
9,Uralla,Depot Road
10,Uralla,Devoncourt Road
11,Uralla,Dog Trap Road
12,Uralla,Duke Street
13,Uralla,Dumaresq Street
14,Uralla,East Street
15,Uralla,Elizabeth Avenue
16,Uralla,Everett Street
17,Uralla,Faulkner Street
18,Uralla,Fitzroy Street
19,Uralla,Gilmore Place
20,Uralla,Gostwyck Street
21,Uralla,Gostwyck Road
22,Uralla,Green Gully Road
23,Uralla,Hawthorne Drive
24,Uralla,High Street
25,Uralla,Hill Street
26,Uralla,Hunter Place
27,Uralla,Ivon Court
28,Uralla,John Street
29,Uralla,Karava Place
30,Uralla,King Street
31,Uralla,Kingstown Road
32,Uralla,Kliendienst Road
33,Uralla,Leece Road
34,Uralla,Lookout Road
35,Uralla,Maitland Street
36,Uralla,Marsh Street
37,Uralla,Marsh Lane
38,Uralla,Mccrossin Street
39,Uralla,Mcgregor Street
40,Uralla,Mckenzie Street
41,Uralla,Mcmahon Street
42,Uralla,Mihi Street
43,Uralla,Munro Avenue
44,Uralla,Munsies Road
45,Uralla,New England Highway
46,Uralla,Old Gostwyck Road
47,Uralla,Panhandle Road
48,Uralla,Park Street
49,Uralla,Phillip Avenue
50,Uralla,Plane Avenue
51,Uralla,Pomona Road
52,Uralla,Prince Avenue
53,Uralla,Quartz Gully Road
54,Uralla,Queen Street
55,Uralla,Racecourse Road
56,Uralla,Rock Abbey Road
57,Uralla,Rocky River Road
58,Uralla,Roman Street
59,Uralla,Rowan Avenue
60,Uralla,Salisbury Street
61,Uralla,Sanctuary Drive
62,Uralla,Sandon Close
63,Uralla,Sawmill Close
64,Uralla,Staces Road
65,Uralla,Stanley Vale Lane
66,Uralla,Talisker Road
67,Uralla,The Gap Road 
68,Uralla,Thunderbolts Way
69,Uralla,Tip Road
70,Uralla,Uralla Street
71,Uralla,Uralla Square
72,Uralla,Vincent Street
73,Uralla,Wallaby Rocks Lane
74,Uralla,Warwick Street
75,Uralla,Waterworks Road
76,Uralla,Wilkens Street
77,Uralla,Wood Street
78,Unanderra,Adams Avenue
79,Unanderra,Albert Street
80,Unanderra,Allumba Grove
81,Unanderra,Alukea Road
82,Unanderra,Argyle Place
83,Unanderra,Balmaringa Close
84,Unanderra,Beatus Street
85,Unanderra,Berkeley Road
86,Unanderra,Beveles Avenue
87,Unanderra,Beverley Avenue
88,Unanderra,Blackman Parade
89,Unanderra,Bruce Street
90,Unanderra,Carbeen Crescent
91,Unanderra,Carr Parade
92,Unanderra,Central Road
93,Unanderra,Chapman Street
94,Unanderra,Charcoal Close
95,Unanderra,Coachwood Drive
96,Unanderra,Cook Street
97,Unanderra,Coral Crescent
98,Unanderra,Cordeaux Road
99,Unanderra,Cullen Street
100,Unanderra,Cummins Street
101,Unanderra,Doyle Avenue
102,Unanderra,Factory Road
103,Unanderra,Farmborough Road
104,Unanderra,First Avenue
105,Unanderra,Five Islands Road
106,Unanderra,Fourth Avenue
107,Unanderra,Fraser Street
108,Unanderra,Glastonbury Avenue
109,Unanderra,Grace Street
110,Unanderra,Graham Street
111,Unanderra,Hargreaves Street
112,Unanderra,Hessell Street
113,Unanderra,Hibiscus Place
114,Unanderra,Hurt Parade
115,Unanderra,Industrial Road
116,Unanderra,Investigator Drive
117,Unanderra,Jemima Street
118,Unanderra,Jenkins Street
119,Unanderra,Keith Place
120,Unanderra,Kotara Crescent
121,Unanderra,Lady Penrhyn Drive
122,Unanderra,Lathe Place
123,Unanderra,Leigh Crescent
124,Unanderra,Lindsay Street
125,Unanderra,Lowanna Place
126,Unanderra,Luso Drive
127,Unanderra,Marley Place
128,Unanderra,Maynes Parade
129,Unanderra,Mcphail Street
130,Unanderra,Mianga Crescent
131,Unanderra,Nolan Street
132,Unanderra,Normandie Place
133,Unanderra,Nudjia Road
134,Unanderra,Old Five Islands Road
135,Unanderra,O'neil Street
136,Unanderra,Orana Parade
137,Unanderra,Orangegrove Avenue
138,Unanderra,Poplar Avenue
139,Unanderra,Prince Of Wales Avenue 
140,Unanderra,Princes Highway
141,Unanderra,Rachel Crescent
142,Unanderra,Resolution Drive
143,Unanderra,Richards Street
144,Unanderra,Rickard Road
145,Unanderra,Ridley Parade
146,Unanderra,Robert Street
147,Unanderra,Rose Parade
148,Unanderra,Second Avenue
149,Unanderra,Short Street
150,Unanderra,Sirius Road
151,Unanderra,Southern Freeway
152,Unanderra,Staff Road
153,Unanderra,Stapleton Street
154,Unanderra,Stratford Road
155,Unanderra,Sylvester Avenue
156,Unanderra,Tallegalla Street
157,Unanderra,Tannery Street
158,Unanderra,Third Avenue
159,Unanderra,Thornbury Avenue
160,Unanderra,Tresnan Street
161,Unanderra,Victoria Street
162,Unanderra,Wade Street
163,Unanderra,Waples Road
164,Unanderra,Warrah Place
165,Unanderra,Waverley Drive
166,Unanderra,Waynote Place
167,Unanderra,William Street
168,Urana,Angle Ranch Road
169,Urana,Anna Street
170,Urana,Back Berrigan Road
171,Urana,Barracluffs Road
172,Urana,Barragunda Road
173,Urana,Beechers Road
174,Urana,Bidgeemia Road
175,Urana,Boree Creek Road
176,Urana,Brookong Creek Road
177,Urana,Brougong Street
178,Urana,Butherwah Road
179,Urana,Caloolabah Road
180,Urana,Chapman Street
181,Urana,Church Street
182,Urana,Cocketgedong Road
183,Urana,Coonong Road
184,Urana,Coonong Street
185,Urana,Corrowa Road
186,Urana,Crightons Road
187,Urana,Cullivel Road
188,Urana,Doctors Road
189,Urana,Dunraven Road
190,Urana,Edwards Road
191,Urana,End Street
192,Urana,Eulo Glen Road
193,Urana,Fealys Road
194,Urana,Federation Way
195,Urana,Frank Westblades Lane
196,Urana,Frederick Street
197,Urana,Gums Road
198,Urana,Hills Road
199,Urana,Hopwoods Road
200,Urana,Hydewell Road
201,Urana,Jr Smiths Lane
202,Urana,Kellys Road
203,Urana,Lake Road
204,Urana,Linsley Street
205,Urana,Mahonga Road
206,Urana,Mallons Road
207,Urana,Meritons Road
208,Urana,Osborne Street
209,Urana,Princess Street
210,Urana,Smith Street
211,Urana,Spraydon Road
212,Urana,Stakelums Road
213,Urana,Stephen Street
214,Urana,Stevens Road
215,Urana,Talbot Street
216,Urana,Thatchers Road
217,Urana,Tully Street
218,Urana,Uranagong Siding Road
219,Urana,Urana-lockhart Road
220,Urana,Vardy Street
221,Urana,Wandella Lane
222,Urana,Wandinong Road
223,Urana,Webbs Lane
224,Urana,West Gums Road
225,Urana,William Street
226,Urana,Wingan Road
227,Urana,Woodhouse Street
228,Urana,Woodside Road
229,Urangeline,Barry Bowyers Lane
230,Urangeline,Bidgeemia Road
231,Urangeline,Crowes Lane
232,Urangeline,Dicksons Lane
233,Urangeline,Ferndale Boundary Road
234,Urangeline,Finlay Road
235,Urangeline,Hamsons Lane
236,Urangeline,Jack Blights Lane
237,Urangeline,Jim Mcdonnells Lane
238,Urangeline,Mckintys Lane
239,Urangeline,Mclellans Lane
240,Urangeline,Mclellans Road
241,Urangeline,Pat Gleesons Lane
242,Urangeline,Urangeline Creek Road
243,Urangeline,Western Road
244,Urangeline,Whittys Lane
245,Urangeline,Wide Lane
246,Upper Bowman,Alison Road
247,Upper Bowman,Amsterdam Circuit
248,Upper Bowman,Amy Close
249,Upper Bowman,Anzac Avenue
250,Upper Bowman,Arthur Drive
251,Upper Bowman,Ash Avenue
252,Upper Bowman,Bakers Lane
253,Upper Bowman,Birdie Place
254,Upper Bowman,Blades Place
255,Upper Bowman,Boronia Drive
256,Upper Bowman,Bottlebrush Drive
257,Upper Bowman,Boundary Drive
258,Upper Bowman,Bowman Close
259,Upper Bowman,Boyce Avenue
260,Upper Bowman,Brussels Road
261,Upper Bowman,Byron Street
262,Upper Bowman,Caddie Place
263,Upper Bowman,Cape Road
264,Upper Bowman,Casey Drive
265,Upper Bowman,Championship Drive
266,Upper Bowman,Chapman Avenue
267,Upper Bowman,Church Street
268,Upper Bowman,Cohen Street
269,Upper Bowman,Constance Place
270,Upper Bowman,Crystal Crescent
271,Upper Bowman,Cutler Drive
272,Upper Bowman,De L'isle Drive
273,Upper Bowman,Devon Lane
274,Upper Bowman,Donaldson Street
275,Upper Bowman,Driver Place
276,Upper Bowman,Dulmison Avenue
277,Upper Bowman,Elsie Lane
278,Upper Bowman,Emerald Waters Avenue
279,Upper Bowman,Ethel Lane
280,Upper Bowman,Gallery Circuit
281,Upper Bowman,George Street
282,Upper Bowman,Golding Grove
283,Upper Bowman,Grevillea Drive
284,Upper Bowman,Hardware Lane
285,Upper Bowman,Hargrave Street
286,Upper Bowman,Harvey Street
287,Upper Bowman,Hely Street
288,Upper Bowman,Heron Lane
289,Upper Bowman,Hope Street
290,Upper Bowman,Howarth Street
291,Upper Bowman,Ibis Lane
292,Upper Bowman,Ingram Street
293,Upper Bowman,Irons Road
294,Upper Bowman,Ithome Street
295,Upper Bowman,Jennings Road
296,Upper Bowman,Jensen Road
297,Upper Bowman,Johns Road
298,Upper Bowman,Joyce Avenue
299,Upper Bowman,Kingfisher Lane
300,Upper Bowman,Kooindah Boulevard
301,Upper Bowman,Leppington Street
302,Upper Bowman,Levitt Street
