streetNumber,streetName,suburbName,status,postcode,lat,lng
1,Alamein Avenue,Liverpool,1.0,2170.0,-33.9215395,150.9121917
3,Alamein Avenue,Liverpool,1.0,2170.0,-33.9215771,150.9121812
5,Alamein Avenue,Liverpool,1.0,2170.0,-33.921614700000006,150.9121707
7,Alamein Avenue,Liverpool,1.0,2170.0,-33.9217093,150.9121426
9,Alamein Avenue,Liverpool,1.0,2170.0,-33.9218564,150.9120844
11,Alamein Avenue,Liverpool,1.0,2170.0,-33.922068100000004,150.9119612
13,Alamein Avenue,Liverpool,1.0,2170.0,-33.9221294,150.911912
15,Alamein Avenue,Liverpool,1.0,2170.0,-33.9221294,150.911912
17,Alamein Avenue,Liverpool,1.0,2170.0,-33.9221294,150.911912
19,Alamein Avenue,Liverpool,1.0,2170.0,-33.9221294,150.911912
21,Alamein Avenue,Liverpool,1.0,2170.0,-33.9221294,150.911912
23,Alamein Avenue,Liverpool,1.0,2170.0,-33.9221294,150.911912
25,Alamein Avenue,Liverpool,1.0,2170.0,-33.9221294,150.911912
27,Alamein Avenue,Liverpool,1.0,2170.0,-33.9221294,150.911912
29,Alamein Avenue,Liverpool,1.0,2170.0,-33.9221294,150.911912
1,Alderson Avenue,Liverpool,1.0,2170.0,-33.9352006,150.913242
3,Alderson Avenue,Liverpool,1.0,2170.0,-33.9352006,150.913242
5,Alderson Avenue,Liverpool,1.0,2170.0,-33.9352006,150.913242
7,Alderson Avenue,Liverpool,1.0,2170.0,-33.9352006,150.913242
9,Alderson Avenue,Liverpool,1.0,2170.0,-33.9352006,150.913242
11,Alderson Avenue,Liverpool,1.0,2170.0,-33.9352006,150.913242
13,Alderson Avenue,Liverpool,1.0,2170.0,-33.9352006,150.913242
15,Alderson Avenue,Liverpool,1.0,2170.0,-33.9352006,150.913242
17,Alderson Avenue,Liverpool,1.0,2170.0,-33.9352006,150.913242
19,Alderson Avenue,Liverpool,1.0,2170.0,-33.9352201,150.9135087
21,Alderson Avenue,Liverpool,1.0,2170.0,-33.9349554,150.9127134
23,Alderson Avenue,Liverpool,1.0,2170.0,-33.9349484,150.9125316
25,Alderson Avenue,Liverpool,1.0,2170.0,-33.9349133,150.9123953
27,Alderson Avenue,Liverpool,1.0,2170.0,-33.93494620000001,150.9122135
29,Alderson Avenue,Liverpool,1.0,2170.0,-33.9348712,150.9120772
1,Anastasio Road,Liverpool,1.0,2170.0,-33.9148198,150.9100775
3,Anastasio Road,Liverpool,1.0,2170.0,-33.914712200000004,150.9100102
5,Anastasio Road,Liverpool,1.0,2170.0,-33.914606400000004,150.9098625
7,Anastasio Road,Liverpool,1.0,2170.0,-33.914475200000005,150.9096685
9,Anastasio Road,Liverpool,1.0,2170.0,-33.9144182,150.9095587
11,Anastasio Road,Liverpool,1.0,2170.0,-33.9142853,150.9093959
13,Anastasio Road,Liverpool,1.0,2170.0,-33.914232299999995,150.9092665
15,Anastasio Road,Liverpool,1.0,2170.0,-33.914083700000006,150.90907769999995
17,Anastasio Road,Liverpool,1.0,2170.0,-33.9140111,150.9088732
19,Anastasio Road,Liverpool,1.0,2170.0,-33.9139125,150.9090323
21,Anastasio Road,Liverpool,1.0,2170.0,-33.913788200000006,150.9091686
23,Anastasio Road,Liverpool,1.0,2170.0,-33.9135934,150.9094186
25,Anastasio Road,Liverpool,1.0,2170.0,-33.9134714,150.90948669999997
27,Anastasio Road,Liverpool,1.0,2170.0,-33.913375200000004,150.90957759999995
29,Anastasio Road,Liverpool,1.0,2170.0,-33.9132274,150.9096231
1,Anderson Avenue,Liverpool,1.0,2170.0,-33.922403700000004,150.91289519999995
3,Anderson Avenue,Liverpool,1.0,2170.0,-33.9223319,150.91269069999996
5,Anderson Avenue,Liverpool,1.0,2170.0,-33.92233820000001,150.9124862
7,Anderson Avenue,Liverpool,1.0,2170.0,-33.9222914,150.9123044
9,Anderson Avenue,Liverpool,1.0,2170.0,-33.9222162,150.9121426
11,Anderson Avenue,Liverpool,1.0,2170.0,-33.922292799999994,150.91178080000003
13,Anderson Avenue,Liverpool,1.0,2170.0,-33.922292799999994,150.91178080000003
15,Anderson Avenue,Liverpool,1.0,2170.0,-33.9219237,150.9113885
17,Anderson Avenue,Liverpool,1.0,2170.0,-33.921812700000004,150.9112618
19,Anderson Avenue,Liverpool,1.0,2170.0,-33.921797999999995,150.9110885
21,Anderson Avenue,Liverpool,1.0,2170.0,-33.92177530000001,150.910913
23,Anderson Avenue,Liverpool,1.0,2170.0,-33.92174779999999,150.9107361
25,Anderson Avenue,Liverpool,1.0,2170.0,-33.9217213,150.9105658
27,Anderson Avenue,Liverpool,1.0,2170.0,-33.9216935,150.9103871
29,Anderson Avenue,Liverpool,1.0,2170.0,-33.9216665,150.91011799999995
1,Anebo Street,Liverpool,1.0,2170.0,-33.9239578,150.9114858
3,Anebo Street,Liverpool,1.0,2170.0,-33.9239546,150.9114864
5,Anebo Street,Liverpool,1.0,2170.0,-33.9239734,150.9113273
7,Anebo Street,Liverpool,1.0,2170.0,-33.9239184,150.9112149
9,Anebo Street,Liverpool,1.0,2170.0,-33.9239055,150.9109865
11,Anebo Street,Liverpool,1.0,2170.0,-33.923858700000004,150.91080469999997
13,Anebo Street,Liverpool,1.0,2170.0,-33.9237884,150.91053200000005
15,Anebo Street,Liverpool,1.0,2170.0,-33.9238719,150.9108023
17,Anebo Street,Liverpool,1.0,2170.0,-33.9238719,150.9108023
19,Anebo Street,Liverpool,1.0,2170.0,-33.9238719,150.9108023
21,Anebo Street,Liverpool,1.0,2170.0,-33.9238719,150.9108023
23,Anebo Street,Liverpool,1.0,2170.0,-33.9238719,150.9108023
25,Anebo Street,Liverpool,1.0,2170.0,-33.9238719,150.9108023
27,Anebo Street,Liverpool,1.0,2170.0,-33.9238719,150.9108023
29,Anebo Street,Liverpool,1.0,2170.0,-33.9238719,150.9108023
1,Angelo Avenue,Liverpool,1.0,2170.0,-33.9372484,150.9051342
3,Angelo Avenue,Liverpool,1.0,2170.0,-33.9372252,150.905124
5,Angelo Avenue,Liverpool,1.0,2170.0,-33.9372241,150.90479480000005
7,Angelo Avenue,Liverpool,1.0,2170.0,-33.9372241,150.90479480000005
9,Angelo Avenue,Liverpool,1.0,2170.0,-33.9372241,150.90479480000005
11,Angelo Avenue,Liverpool,1.0,2170.0,-33.9375349,150.90462409999995
13,Angelo Avenue,Liverpool,1.0,2170.0,-33.9375018,150.90490880000004
15,Angelo Avenue,Liverpool,1.0,2170.0,-33.9375018,150.90490880000004
17,Angelo Avenue,Liverpool,1.0,2170.0,-33.9375018,150.90490880000004
19,Angelo Avenue,Liverpool,1.0,2170.0,-33.9375018,150.90490880000004
21,Angelo Avenue,Liverpool,1.0,2170.0,-33.9375018,150.90490880000004
23,Angelo Avenue,Liverpool,1.0,2170.0,-33.9375018,150.90490880000004
25,Angelo Avenue,Liverpool,1.0,2170.0,-33.9375018,150.90490880000004
27,Angelo Avenue,Liverpool,1.0,2170.0,-33.9375018,150.90490880000004
29,Angelo Avenue,Liverpool,1.0,2170.0,-33.9375018,150.90490880000004
1,Apex Street,Liverpool,1.0,2170.0,-33.9118494,150.916228
3,Apex Street,Liverpool,1.0,2170.0,-33.9118494,150.916228
5,Apex Street,Liverpool,1.0,2170.0,-33.9118494,150.916228
7,Apex Street,Liverpool,1.0,2170.0,-33.9118494,150.916228
9,Apex Street,Liverpool,1.0,2170.0,-33.9118494,150.916228
11,Apex Street,Liverpool,1.0,2170.0,-33.9118494,150.916228
13,Apex Street,Liverpool,1.0,2170.0,-33.9118391,150.9163124
15,Apex Street,Liverpool,1.0,2170.0,-33.9120898,150.916278
17,Apex Street,Liverpool,1.0,2170.0,-33.9122367,150.91630080000004
19,Apex Street,Liverpool,1.0,2170.0,-33.9123563,150.9163037
21,Apex Street,Liverpool,1.0,2170.0,-33.91249929999999,150.9163946
23,Apex Street,Liverpool,1.0,2170.0,-33.912664500000005,150.91643100000005
25,Apex Street,Liverpool,1.0,2170.0,-33.912762,150.9164855
27,Apex Street,Liverpool,1.0,2170.0,-33.91290499999999,150.9165764
29,Apex Street,Liverpool,1.0,2170.0,-33.9130609,150.91667869999995
1,Atkinson Street,Liverpool,1.0,2170.0,-33.9316467,150.9244216
3,Atkinson Street,Liverpool,1.0,2170.0,-33.9312802,150.92453319999996
5,Atkinson Street,Liverpool,1.0,2170.0,-33.9312804,150.9245327
7,Atkinson Street,Liverpool,1.0,2170.0,-33.9312318,150.92383769999995
9,Atkinson Street,Liverpool,1.0,2170.0,-33.9312318,150.92383769999995
11,Atkinson Street,Liverpool,1.0,2170.0,-33.93122090000001,150.9238398
13,Atkinson Street,Liverpool,1.0,2170.0,-33.93122090000001,150.9238398
15,Atkinson Street,Liverpool,1.0,2170.0,-33.93122090000001,150.9238398
17,Atkinson Street,Liverpool,1.0,2170.0,-33.930958399999994,150.922843
19,Atkinson Street,Liverpool,1.0,2170.0,-33.930958399999994,150.922843
21,Atkinson Street,Liverpool,1.0,2170.0,-33.930931,150.92284890000005
23,Atkinson Street,Liverpool,1.0,2170.0,-33.9310568,150.92200390000005
25,Atkinson Street,Liverpool,1.0,2170.0,-33.9310568,150.92200380000003
27,Atkinson Street,Liverpool,1.0,2170.0,-33.9310424,150.9216667
29,Atkinson Street,Liverpool,1.0,2170.0,-33.9309632,150.921286
1,Bathurst Street,Liverpool,1.0,2170.0,-33.9153883,150.9223484
3,Bathurst Street,Liverpool,1.0,2170.0,-33.9155209,150.9222356
5,Bathurst Street,Liverpool,1.0,2170.0,-33.91571210000001,150.9222121
7,Bathurst Street,Liverpool,1.0,2170.0,-33.9158599,150.9221666
9,Bathurst Street,Liverpool,1.0,2170.0,-33.9161966,150.9220987
11,Bathurst Street,Liverpool,1.0,2170.0,-33.9161966,150.9220987
13,Bathurst Street,Liverpool,1.0,2170.0,-33.9164862,150.9221212
15,Bathurst Street,Liverpool,1.0,2170.0,-33.916634,150.9220757
